t mart.s0 mart.sn aust.s0 aust.sn
0.000000e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
5.000250e-02 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
1.000050e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
1.500075e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.000100e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.500125e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.000150e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.500175e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
4.000200e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
4.500225e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
5.000250e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
5.500275e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
6.000300e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
6.500325e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
7.000350e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
7.500375e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
8.000400e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
8.500425e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
9.000450e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
9.500475e-01 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
1.000050e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
1.050053e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
1.100055e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
1.150058e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
1.200060e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
1.250063e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
1.300065e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
1.350068e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
1.400070e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
1.450073e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
1.500075e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
1.550078e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
1.600080e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
1.650083e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
1.700085e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
1.750088e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
1.800090e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
1.850093e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
1.900095e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
1.950098e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.000100e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.050103e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.100105e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.150108e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.200110e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.250113e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.300115e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.350118e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.400120e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.450123e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.500125e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.550128e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.600130e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.650133e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.700135e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.750138e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.800140e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.850143e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.900145e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
2.950148e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.000150e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.050153e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.100155e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.150158e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.200160e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.250163e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.300165e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.350168e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.400170e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.450173e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.500175e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.550178e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.600180e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.650183e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.700185e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.750188e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.800190e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.850193e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.900195e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
3.950198e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
4.000200e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
4.050203e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
4.100205e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
4.150208e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
4.200210e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
4.250213e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
4.300215e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
4.350218e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
4.400220e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
4.450223e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
4.500225e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
4.550228e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
4.600230e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
4.650233e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
4.700235e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
4.750238e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
4.800240e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
4.850243e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
4.900245e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
4.950248e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
5.000250e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
5.050253e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
5.100255e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
5.150258e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
5.200260e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
5.250263e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
5.300265e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
5.350268e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
5.400270e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
5.450273e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
5.500275e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
5.550278e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
5.600280e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
5.650283e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
5.700285e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
5.750288e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
5.800290e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
5.850293e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
5.900295e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
5.950298e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
6.000300e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
6.050303e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
6.100305e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
6.150308e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
6.200310e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
6.250313e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
6.300315e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
6.350318e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
6.400320e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
6.450323e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
6.500325e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
6.550328e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
6.600330e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
6.650333e+00 -1.160000e+00 -6.600000e-01 -6.600000e-01 0.000000e+00
