t cavg
1.000000e-02 3.348291e-02
2.000000e-02 3.347770e-02
3.000000e-02 3.347294e-02
4.000000e-02 3.346859e-02
5.000000e-02 3.346462e-02
6.000000e-02 3.346099e-02
7.000000e-02 3.345767e-02
8.000000e-02 3.345465e-02
9.000000e-02 3.345188e-02
1.000000e-01 3.344936e-02
1.100000e-01 3.344705e-02
1.200000e-01 3.344494e-02
1.300000e-01 3.344302e-02
1.400000e-01 3.344126e-02
1.500000e-01 3.343964e-02
1.600000e-01 3.343817e-02
1.700000e-01 3.343681e-02
1.800000e-01 3.343557e-02
1.900000e-01 3.343442e-02
2.000000e-01 3.343337e-02
3.000000e-01 3.342626e-02
4.000000e-01 3.342255e-02
5.000000e-01 3.342027e-02
6.000000e-01 3.341871e-02
7.000000e-01 3.341756e-02
8.000000e-01 3.341667e-02
9.000000e-01 3.341596e-02
1.000000e+00 3.341538e-02
1.100000e+00 3.341489e-02
1.200000e+00 3.341447e-02
1.300000e+00 3.341411e-02
1.400000e+00 3.341379e-02
1.500000e+00 3.341351e-02
1.600000e+00 3.341326e-02
1.700000e+00 3.341303e-02
1.800000e+00 3.341283e-02
1.900000e+00 3.341264e-02
2.000000e+00 3.341247e-02
3.000000e+00 3.341124e-02
4.000000e+00 3.341053e-02
5.000000e+00 3.341007e-02
6.000000e+00 3.340973e-02
7.000000e+00 3.340947e-02
8.000000e+00 3.340927e-02
9.000000e+00 3.340910e-02
1.000000e+01 3.340896e-02
1.100000e+01 3.340884e-02
1.200000e+01 3.340873e-02
1.300000e+01 3.340864e-02
1.400000e+01 3.340856e-02
1.500000e+01 3.340849e-02
1.600000e+01 3.340842e-02
1.700000e+01 3.340836e-02
1.800000e+01 3.340831e-02
1.900000e+01 3.340826e-02
2.000000e+01 3.340821e-02
3.000000e+01 3.340766e-02
4.000000e+01 3.340733e-02
5.000000e+01 3.340711e-02
6.000000e+01 3.340695e-02
7.000000e+01 3.340682e-02
8.000000e+01 3.340672e-02
9.000000e+01 3.340664e-02
1.000000e+02 3.340656e-02
1.100000e+02 3.340650e-02
1.200000e+02 3.340645e-02
1.300000e+02 3.340640e-02
1.400000e+02 3.340636e-02
1.500000e+02 3.340632e-02
1.600000e+02 3.340629e-02
1.700000e+02 3.340626e-02
1.800000e+02 3.340623e-02
1.900000e+02 3.340620e-02
2.000000e+02 3.340618e-02
2.100000e+02 3.340616e-02
2.200000e+02 3.340614e-02
2.300000e+02 3.340612e-02
2.400000e+02 3.340610e-02
2.500000e+02 3.340608e-02
2.600000e+02 3.340606e-02
2.700000e+02 3.340605e-02
2.800000e+02 3.340603e-02
2.900000e+02 3.340602e-02
3.000000e+02 3.340600e-02
3.100000e+02 3.340599e-02
3.200000e+02 3.340598e-02
3.300000e+02 3.340597e-02
3.400000e+02 3.340596e-02
3.500000e+02 3.340594e-02
3.600000e+02 3.340593e-02
3.700000e+02 3.340592e-02
3.800000e+02 3.340591e-02
3.900000e+02 3.340590e-02
4.000000e+02 3.340589e-02
4.100000e+02 3.340589e-02
4.200000e+02 3.340588e-02
4.300000e+02 3.340587e-02
4.400000e+02 3.340586e-02
4.500000e+02 3.340585e-02
4.600000e+02 3.340584e-02
4.700000e+02 3.340584e-02
4.800000e+02 3.340583e-02
4.900000e+02 3.340582e-02
5.000000e+02 3.340581e-02
5.100000e+02 3.340580e-02
5.200000e+02 3.340580e-02
5.300000e+02 3.340579e-02
5.400000e+02 3.340578e-02
5.500000e+02 3.340578e-02
5.600000e+02 3.340577e-02
5.700000e+02 3.340576e-02
5.800000e+02 3.340575e-02
5.900000e+02 3.340575e-02
6.000000e+02 3.340574e-02
6.100000e+02 3.340573e-02
6.200000e+02 3.340573e-02
6.300000e+02 3.340572e-02
6.400000e+02 3.340571e-02
6.500000e+02 3.340571e-02
6.600000e+02 3.340570e-02
6.700000e+02 3.340570e-02
6.800000e+02 3.340569e-02
6.900000e+02 3.340568e-02
7.000000e+02 3.340568e-02
7.100000e+02 3.340567e-02
7.200000e+02 3.340566e-02
7.300000e+02 3.340566e-02
7.400000e+02 3.340565e-02
7.500000e+02 3.340565e-02
7.600000e+02 3.340564e-02
7.700000e+02 3.340563e-02
7.800000e+02 3.340563e-02
7.900000e+02 3.340562e-02
8.000000e+02 3.340562e-02
8.100000e+02 3.340561e-02
8.200000e+02 3.340560e-02
8.300000e+02 3.340560e-02
8.400000e+02 3.340559e-02
8.500000e+02 3.340559e-02
8.600000e+02 3.340558e-02
8.700000e+02 3.340558e-02
8.800000e+02 3.340557e-02
8.900000e+02 3.340557e-02
9.000000e+02 3.340556e-02
9.100000e+02 3.340555e-02
9.200000e+02 3.340555e-02
9.300000e+02 3.340554e-02
9.400000e+02 3.340554e-02
9.500000e+02 3.340553e-02
9.600000e+02 3.340553e-02
9.700000e+02 3.340552e-02
9.800000e+02 3.340552e-02
9.900000e+02 3.340551e-02
1.000000e+03 3.340551e-02
