# n=270
# ti=0.05 tf=10 tstep=0.05 ntime=200
z c strct
-3.305556e-01 2.274083e-05 fer1
-3.301851e-01 2.274055e-05 fer1
-3.298146e-01 2.274028e-05 fer1
-3.294441e-01 2.274000e-05 fer1
-3.290737e-01 2.273973e-05 fer1
-3.287032e-01 2.273945e-05 fer1
-3.283327e-01 2.273919e-05 fer1
-3.283327e-01 5.261196e-02 aus2
-3.250342e-01 3.964843e-02 aus2
-3.217358e-01 3.435919e-02 aus2
-3.184374e-01 3.353406e-02 aus2
-3.151389e-01 3.344901e-02 aus2
-3.118405e-01 3.344193e-02 aus2
-3.085420e-01 3.344143e-02 aus2
-3.052436e-01 3.344140e-02 aus2
-3.019451e-01 3.344140e-02 aus2
-2.986467e-01 3.344140e-02 aus2
-2.953482e-01 3.344140e-02 aus2
-2.920498e-01 3.344140e-02 aus2
-2.887513e-01 3.344140e-02 aus2
-2.854529e-01 3.344140e-02 aus2
-2.821545e-01 3.344140e-02 aus2
-2.788560e-01 3.344140e-02 aus2
-2.755576e-01 3.344140e-02 aus2
-2.722591e-01 3.344140e-02 aus2
-2.689607e-01 3.344140e-02 aus2
-2.656622e-01 3.344140e-02 aus2
-2.623638e-01 3.344140e-02 aus2
-2.590653e-01 3.344140e-02 aus2
-2.557669e-01 3.344140e-02 aus2
-2.524684e-01 3.344140e-02 aus2
-2.491700e-01 3.344140e-02 aus2
-2.458716e-01 3.344140e-02 aus2
-2.425731e-01 3.344140e-02 aus2
-2.392747e-01 3.344140e-02 aus2
-2.359762e-01 3.344140e-02 aus2
-2.326778e-01 3.344140e-02 aus2
-2.293793e-01 3.344140e-02 aus2
-2.260809e-01 3.344140e-02 aus2
-2.227824e-01 3.344140e-02 aus2
-2.194840e-01 3.344140e-02 aus2
-2.161856e-01 3.344140e-02 aus2
-2.128871e-01 3.344140e-02 aus2
-2.095887e-01 3.344140e-02 aus2
-2.062902e-01 3.344140e-02 aus2
-2.029918e-01 3.344140e-02 aus2
-1.996933e-01 3.344140e-02 aus2
-1.963949e-01 3.344140e-02 aus2
-1.930964e-01 3.344140e-02 aus2
-1.897980e-01 3.344140e-02 aus2
-1.864995e-01 3.344140e-02 aus2
-1.832011e-01 3.344140e-02 aus2
-1.799027e-01 3.344140e-02 aus2
-1.766042e-01 3.344140e-02 aus2
-1.733058e-01 3.344140e-02 aus2
-1.700073e-01 3.344140e-02 aus2
-1.667089e-01 3.344140e-02 aus2
-1.634104e-01 3.344140e-02 aus2
-1.601120e-01 3.344140e-02 aus2
-1.568135e-01 3.344140e-02 aus2
-1.535151e-01 3.344140e-02 aus2
-1.502166e-01 3.344140e-02 aus2
-1.469182e-01 3.344140e-02 aus2
-1.436198e-01 3.344140e-02 aus2
-1.403213e-01 3.344140e-02 aus2
-1.370229e-01 3.344140e-02 aus2
-1.337244e-01 3.344140e-02 aus2
-1.304260e-01 3.344140e-02 aus2
-1.271275e-01 3.344140e-02 aus2
-1.238291e-01 3.344140e-02 aus2
-1.205306e-01 3.344140e-02 aus2
-1.172322e-01 3.344140e-02 aus2
