mart_FoFo_CCEpara.log @ arthur-ltf
2018-06-22T20:44:57

c0 = 3.344140e-02 (approx 0.74 wt.%)
T_C = 375.0 [oC]
total_time = 1000.0 [s]; n_time = 30800

mart: structure = bcc; E = 0.0 [J/mol]; type_D = 3 (pseudophase alpha + carbides)
      thermodynamical data: thermo/FoFo/TCFE8/375-bcc.txt
      z0 = -1.16 um; zn = -0.66 um; n = 50
aust: structure = fcc; E = 0.0 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-fcc.txt
      z0 = -0.66 um; zn = 0.00 um; n = 200
intf: type_int = 1 (fixed.fluxes)

14800: t=200.000, cavg*=1.05497, r_mart=163.34, r_aust=2.90871
15000: t=210.000, cavg*=1.05516, r_mart=163.34, r_aust=2.85418
15200: t=220.000, cavg*=1.05533, r_mart=163.34, r_aust=2.80551
15400: t=230.000, cavg*=1.05548, r_mart=163.341, r_aust=2.76205
15600: t=240.000, cavg*=1.05562, r_mart=163.341, r_aust=2.72325
15800: t=250.000, cavg*=1.05574, r_mart=163.341, r_aust=2.68861
16000: t=260.000, cavg*=1.05584, r_mart=163.342, r_aust=2.65768
16200: t=270.000, cavg*=1.05594, r_mart=163.342, r_aust=2.63007
16400: t=280.000, cavg*=1.05603, r_mart=163.342, r_aust=2.60542
16600: t=290.000, cavg*=1.0561, r_mart=163.342, r_aust=2.58342
16800: t=300.000, cavg*=1.05617, r_mart=163.342, r_aust=2.56378
17000: t=310.000, cavg*=1.05623, r_mart=163.342, r_aust=2.54625
17200: t=320.000, cavg*=1.05629, r_mart=163.343, r_aust=2.5306
17400: t=330.000, cavg*=1.05634, r_mart=163.343, r_aust=2.51664
17600: t=340.000, cavg*=1.05638, r_mart=163.343, r_aust=2.50417
17800: t=350.000, cavg*=1.05642, r_mart=163.343, r_aust=2.49305
18000: t=360.000, cavg*=1.05646, r_mart=163.343, r_aust=2.48313
18200: t=370.000, cavg*=1.05649, r_mart=163.343, r_aust=2.47427
18400: t=380.000, cavg*=1.05652, r_mart=163.343, r_aust=2.46637
18600: t=390.000, cavg*=1.05654, r_mart=163.343, r_aust=2.45932
18800: t=400.000, cavg*=1.05656, r_mart=163.343, r_aust=2.45303
19000: t=410.000, cavg*=1.05658, r_mart=163.343, r_aust=2.44741
19200: t=420.000, cavg*=1.0566, r_mart=163.343, r_aust=2.4424
19400: t=430.000, cavg*=1.05662, r_mart=163.343, r_aust=2.43793
19600: t=440.000, cavg*=1.05663, r_mart=163.343, r_aust=2.43395
19800: t=450.000, cavg*=1.05664, r_mart=163.343, r_aust=2.43039
20000: t=460.000, cavg*=1.05665, r_mart=163.343, r_aust=2.42721
20200: t=470.000, cavg*=1.05666, r_mart=163.343, r_aust=2.42438
20400: t=480.000, cavg*=1.05667, r_mart=163.343, r_aust=2.42185
20600: t=490.000, cavg*=1.05668, r_mart=163.343, r_aust=2.41959
20800: t=500.000, cavg*=1.05669, r_mart=163.343, r_aust=2.41758
21000: t=510.000, cavg*=1.05669, r_mart=163.343, r_aust=2.41578
21200: t=520.000, cavg*=1.0567, r_mart=163.343, r_aust=2.41418
21400: t=530.000, cavg*=1.0567, r_mart=163.344, r_aust=2.41275
21600: t=540.000, cavg*=1.05671, r_mart=163.344, r_aust=2.41148
21800: t=550.000, cavg*=1.05671, r_mart=163.344, r_aust=2.41034
22000: t=560.000, cavg*=1.05672, r_mart=163.344, r_aust=2.40932
22200: t=570.000, cavg*=1.05672, r_mart=163.344, r_aust=2.40842
22400: t=580.000, cavg*=1.05672, r_mart=163.344, r_aust=2.40761
22600: t=590.000, cavg*=1.05673, r_mart=163.344, r_aust=2.40689
22800: t=600.000, cavg*=1.05673, r_mart=163.344, r_aust=2.40624
23000: t=610.000, cavg*=1.05673, r_mart=163.344, r_aust=2.40567
23200: t=620.000, cavg*=1.05673, r_mart=163.344, r_aust=2.40515
23400: t=630.000, cavg*=1.05673, r_mart=163.344, r_aust=2.4047
