mart_FoFo_CCEortho.log @ arthur-ltf
2018-06-20T21:22:53

c0 = 3.344140e-02 (approx 0.74 wt.%)
T_C = 375.0 [oC]
total_time = 1000.0 [s]; n_time = 30800

mart: structure = bcc; E = 0.0 [J/mol]; type_D = 3 (pseudophase alpha + carbides)
      thermodynamical data: thermo/FoFo/TCFE8/375-bcc.txt
      z0 = -1.16 um; zn = -0.66 um; n = 20
aust: structure = fcc; E = 0.0 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-fcc.txt
      z0 = -0.66 um; zn = 0.00 um; n = 100
intf: type_int = 1 (fixed.fluxes)

14200: t=170.000, cavg*=0.99644, r_mart=20.7327, r_aust=0.156658
14400: t=180.000, cavg*=0.996437, r_mart=20.7161, r_aust=0.156527
14600: t=190.000, cavg*=0.996435, r_mart=20.7, r_aust=0.156374
14800: t=200.000, cavg*=0.996433, r_mart=20.6843, r_aust=0.156198
15000: t=210.000, cavg*=0.996432, r_mart=20.669, r_aust=0.156
15200: t=220.000, cavg*=0.99643, r_mart=20.6541, r_aust=0.15578
15400: t=230.000, cavg*=0.996428, r_mart=20.6395, r_aust=0.155539
15600: t=240.000, cavg*=0.996427, r_mart=20.6252, r_aust=0.155278
15800: t=250.000, cavg*=0.996426, r_mart=20.6112, r_aust=0.154996
16000: t=260.000, cavg*=0.996424, r_mart=20.5974, r_aust=0.154696
16200: t=270.000, cavg*=0.996423, r_mart=20.584, r_aust=0.154378
16400: t=280.000, cavg*=0.996422, r_mart=20.5708, r_aust=0.154043
16600: t=290.000, cavg*=0.996421, r_mart=20.5578, r_aust=0.153692
16800: t=300.000, cavg*=0.99642, r_mart=20.545, r_aust=0.153327
17000: t=310.000, cavg*=0.996419, r_mart=20.5325, r_aust=0.152949
17200: t=320.000, cavg*=0.996418, r_mart=20.5201, r_aust=0.152557
17400: t=330.000, cavg*=0.996417, r_mart=20.508, r_aust=0.152154
17600: t=340.000, cavg*=0.996416, r_mart=20.496, r_aust=0.151741
17800: t=350.000, cavg*=0.996415, r_mart=20.4842, r_aust=0.151317
18000: t=360.000, cavg*=0.996415, r_mart=20.4725, r_aust=0.150885
18200: t=370.000, cavg*=0.996414, r_mart=20.4611, r_aust=0.150445
18400: t=380.000, cavg*=0.996413, r_mart=20.4497, r_aust=0.149998
18600: t=390.000, cavg*=0.996413, r_mart=20.4386, r_aust=0.149543
18800: t=400.000, cavg*=0.996412, r_mart=20.4275, r_aust=0.149084
19000: t=410.000, cavg*=0.996411, r_mart=20.4166, r_aust=0.148619
19200: t=420.000, cavg*=0.996411, r_mart=20.4059, r_aust=0.148149
19400: t=430.000, cavg*=0.99641, r_mart=20.3953, r_aust=0.147675
19600: t=440.000, cavg*=0.996409, r_mart=20.3847, r_aust=0.147199
19800: t=450.000, cavg*=0.996409, r_mart=20.3744, r_aust=0.146719
20000: t=460.000, cavg*=0.996408, r_mart=20.3641, r_aust=0.146236
20200: t=470.000, cavg*=0.996408, r_mart=20.3539, r_aust=0.145752
20400: t=480.000, cavg*=0.996407, r_mart=20.3439, r_aust=0.145266
20600: t=490.000, cavg*=0.996407, r_mart=20.3339, r_aust=0.144779
20800: t=500.000, cavg*=0.996406, r_mart=20.3241, r_aust=0.144291
21000: t=510.000, cavg*=0.996406, r_mart=20.3143, r_aust=0.143802
21200: t=520.000, cavg*=0.996405, r_mart=20.3047, r_aust=0.143313
21400: t=530.000, cavg*=0.996405, r_mart=20.2951, r_aust=0.142824
21600: t=540.000, cavg*=0.996405, r_mart=20.2857, r_aust=0.142336
21800: t=550.000, cavg*=0.996404, r_mart=20.2763, r_aust=0.141848
22000: t=560.000, cavg*=0.996404, r_mart=20.267, r_aust=0.141361
22200: t=570.000, cavg*=0.996403, r_mart=20.2578, r_aust=0.140875
22400: t=580.000, cavg*=0.996403, r_mart=20.2487, r_aust=0.14039
22600: t=590.000, cavg*=0.996403, r_mart=20.2396, r_aust=0.139906
22800: t=600.000, cavg*=0.996402, r_mart=20.2307, r_aust=0.139424
23000: t=610.000, cavg*=0.996402, r_mart=20.2218, r_aust=0.138943
23200: t=620.000, cavg*=0.996402, r_mart=20.213, r_aust=0.138465
23400: t=630.000, cavg*=0.996401, r_mart=20.2042, r_aust=0.137988
23600: t=640.000, cavg*=0.996401, r_mart=20.1956, r_aust=0.137513
23800: t=650.000, cavg*=0.996401, r_mart=20.187, r_aust=0.137041
24000: t=660.000, cavg*=0.9964, r_mart=20.1784, r_aust=0.13657
24200: t=670.000, cavg*=0.9964, r_mart=20.17, r_aust=0.136102
24400: t=680.000, cavg*=0.9964, r_mart=20.1616, r_aust=0.135637
24600: t=690.000, cavg*=0.9964, r_mart=20.1533, r_aust=0.135174
24800: t=700.000, cavg*=0.996399, r_mart=20.145, r_aust=0.134713
25000: t=710.000, cavg*=0.996399, r_mart=20.1368, r_aust=0.134255
25200: t=720.000, cavg*=0.996399, r_mart=20.1287, r_aust=0.1338
25400: t=730.000, cavg*=0.996399, r_mart=20.1206, r_aust=0.133348
