bainite_FoFo_375.log @ arthur-tud
2019-07-15T12:33:24

c0 = 3.855349e-02 (approx 0.86 wt.%)
T_C = 375.0 [oC]
total_time = 1000.0 [s]; n_time = 30800

fer1: structure = bcc; E = 1787.5852936460433 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE9/fofo_cell_boundary/375-BCC.TXT
      z0 = -1.16 um; zn = -1.16 um; n = 10
aus1: structure = fcc; E = 0.0 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE9/fofo_cell_boundary/375-FCC.TXT
      z0 = -1.16 um; zn = -0.39 um; n = 100
fer2: structure = bcc; E = 1787.5852936460433 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE9/fofo_cell_boundary/375-BCC.TXT
      z0 = -0.39 um; zn = -0.39 um; n = 10
aus2: structure = fcc; E = 0.0 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE9/fofo_cell_boundary/375-FCC.TXT
      z0 = -0.39 um; zn = 0.00 um; n = 100
int1: type_int = 3 (mobile.mmode)
int2: type_int = 3 (mobile.mmode)
int3: type_int = 3 (mobile.mmode)

  880: t=0.044, cavg*=1.00036, r_fer1=0, r_aus1=0.000168497, r_fer2=0, r_aus2=0.000672109
  900: t=0.045, cavg*=1.00037, r_fer1=0, r_aus1=0.000168757, r_fer2=0, r_aus2=0.000673118
  920: t=0.046, cavg*=1.00037, r_fer1=0, r_aus1=0.000169005, r_fer2=0, r_aus2=0.000674089
  940: t=0.047, cavg*=1.00037, r_fer1=0, r_aus1=0.000169244, r_fer2=0, r_aus2=0.000675022
  960: t=0.048, cavg*=1.00037, r_fer1=0, r_aus1=0.000169474, r_fer2=0, r_aus2=0.000675921
  980: t=0.049, cavg*=1.00037, r_fer1=0, r_aus1=0.000169696, r_fer2=0, r_aus2=0.00067679
 1000: t=0.050, cavg*=1.00037, r_fer1=0, r_aus1=0.00016991, r_fer2=0, r_aus2=0.000677631
 1020: t=0.051, cavg*=1.00038, r_fer1=0, r_aus1=0.000170118, r_fer2=0, r_aus2=0.000678448
 1040: t=0.052, cavg*=1.00038, r_fer1=0, r_aus1=0.000170321, r_fer2=0, r_aus2=0.000679243
 1060: t=0.053, cavg*=1.00038, r_fer1=0, r_aus1=0.000170518, r_fer2=0, r_aus2=0.000680019
 1080: t=0.054, cavg*=1.00038, r_fer1=0, r_aus1=0.00017071, r_fer2=0, r_aus2=0.000680777
 1100: t=0.055, cavg*=1.00038, r_fer1=0, r_aus1=0.000170898, r_fer2=0, r_aus2=0.000681519
 1120: t=0.056, cavg*=1.00038, r_fer1=0, r_aus1=0.000171083, r_fer2=0, r_aus2=0.000682248
 1140: t=0.057, cavg*=1.00038, r_fer1=0, r_aus1=0.000171263, r_fer2=0, r_aus2=0.000682963
 1160: t=0.058, cavg*=1.00038, r_fer1=0, r_aus1=0.000171441, r_fer2=0, r_aus2=0.000683667
 1180: t=0.059, cavg*=1.00038, r_fer1=0, r_aus1=0.000171616, r_fer2=0, r_aus2=0.00068436
 1200: t=0.060, cavg*=1.00038, r_fer1=0, r_aus1=0.000171788, r_fer2=0, r_aus2=0.000685043
 1220: t=0.061, cavg*=1.00038, r_fer1=0, r_aus1=0.000171958, r_fer2=0, r_aus2=0.000685717
