mart_FoFo_mu16e3.log @ arthur-ltf
2018-06-22T21:08:42

c0 = 3.344140e-02 (approx 0.74 wt.%)
T_C = 375.0 [oC]
total_time = 1000.0 [s]; n_time = 2198

mart: structure = bcc; E = 0.0 [J/mol]; type_D = 3 (pseudophase alpha + carbides)
      thermodynamical data: thermo/FoFo/TCFE8/375-bcc.txt
      z0 = -1.16 um; zn = -0.66 um; n = 20
aust: structure = fcc; E = 0.0 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-fcc.txt
      z0 = -0.66 um; zn = 0.00 um; n = 100
intf: type_int = 1 (fixed.fluxes)

  156: t=0.780, cavg*=1, r_mart=2.18176, r_aust=0.0157066
  158: t=0.790, cavg*=1, r_mart=2.18176, r_aust=0.0157066
  160: t=0.800, cavg*=1, r_mart=2.18176, r_aust=0.0157066
  162: t=0.810, cavg*=1, r_mart=2.18176, r_aust=0.0157066
  164: t=0.820, cavg*=1, r_mart=2.18176, r_aust=0.0157066
  166: t=0.830, cavg*=1, r_mart=2.18176, r_aust=0.0157066
  168: t=0.840, cavg*=1, r_mart=2.18176, r_aust=0.0157066
  170: t=0.850, cavg*=1, r_mart=2.18176, r_aust=0.0157066
  172: t=0.860, cavg*=1, r_mart=2.18176, r_aust=0.0157066
  174: t=0.870, cavg*=1, r_mart=2.18176, r_aust=0.0157066
  176: t=0.880, cavg*=1, r_mart=2.18176, r_aust=0.0157066
  178: t=0.890, cavg*=1, r_mart=2.18176, r_aust=0.0157066
  180: t=0.900, cavg*=1, r_mart=2.18176, r_aust=0.0157066
  182: t=0.910, cavg*=1, r_mart=2.18176, r_aust=0.0157066
  184: t=0.920, cavg*=1, r_mart=2.18176, r_aust=0.0157066
  186: t=0.930, cavg*=1, r_mart=2.18176, r_aust=0.0157066
  188: t=0.940, cavg*=1, r_mart=2.18176, r_aust=0.0157066
  190: t=0.950, cavg*=1, r_mart=2.18176, r_aust=0.0157066
  192: t=0.960, cavg*=1, r_mart=2.18176, r_aust=0.0157066
  194: t=0.970, cavg*=1, r_mart=2.18176, r_aust=0.0157066
  196: t=0.980, cavg*=1, r_mart=2.18176, r_aust=0.0157066
  198: t=0.990, cavg*=1, r_mart=2.18176, r_aust=0.0157066
  200: t=1.000, cavg*=1, r_mart=2.18176, r_aust=0.0157066
  202: t=2.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  204: t=3.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  206: t=4.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  208: t=5.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  210: t=6.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  212: t=7.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  214: t=8.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  216: t=9.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  218: t=10.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  220: t=11.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  222: t=12.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  224: t=13.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  226: t=14.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  228: t=15.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  230: t=16.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  232: t=17.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  234: t=18.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  236: t=19.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  238: t=20.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  240: t=21.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  242: t=22.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  244: t=23.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  246: t=24.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  248: t=25.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  250: t=26.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  252: t=27.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  254: t=28.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  256: t=29.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  258: t=30.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  260: t=31.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  262: t=32.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  264: t=33.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  266: t=34.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  268: t=35.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  270: t=36.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  272: t=37.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  274: t=38.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  276: t=39.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  278: t=40.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  280: t=41.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  282: t=42.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  284: t=43.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  286: t=44.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  288: t=45.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  290: t=46.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  292: t=47.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  294: t=48.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  296: t=49.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  298: t=50.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  300: t=51.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  302: t=52.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  304: t=53.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  306: t=54.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  308: t=55.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  310: t=56.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  312: t=57.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  314: t=58.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  316: t=59.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  318: t=60.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  320: t=61.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  322: t=62.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  324: t=63.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  326: t=64.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  328: t=65.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  330: t=66.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  332: t=67.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  334: t=68.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  336: t=69.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  338: t=70.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  340: t=71.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  342: t=72.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  344: t=73.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  346: t=74.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  348: t=75.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  350: t=76.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  352: t=77.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  354: t=78.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  356: t=79.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  358: t=80.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  360: t=81.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  362: t=82.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  364: t=83.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  366: t=84.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  368: t=85.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  370: t=86.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  372: t=87.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  374: t=88.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  376: t=89.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  378: t=90.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  380: t=91.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  382: t=92.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  384: t=93.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  386: t=94.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  388: t=95.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  390: t=96.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  392: t=97.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  394: t=98.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  396: t=99.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  398: t=100.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  400: t=101.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  402: t=102.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  404: t=103.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  406: t=104.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  408: t=105.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  410: t=106.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  412: t=107.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  414: t=108.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  416: t=109.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  418: t=110.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  420: t=111.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  422: t=112.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  424: t=113.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  426: t=114.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  428: t=115.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  430: t=116.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  432: t=117.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  434: t=118.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  436: t=119.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  438: t=120.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  440: t=121.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  442: t=122.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  444: t=123.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  446: t=124.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  448: t=125.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  450: t=126.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  452: t=127.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  454: t=128.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  456: t=129.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  458: t=130.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  460: t=131.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  462: t=132.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  464: t=133.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  466: t=134.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  468: t=135.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  470: t=136.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  472: t=137.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  474: t=138.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  476: t=139.000, cavg*=1, r_mart=218.176, r_aust=1.57066
  478: t=140.000, cavg*=1, r_mart=218.176, r_aust=1.57066
