coupled_FoFo_375_mu25e3.log @ arthur-tud
2019-07-15T12:54:13

c0 = 3.344140e-02 (approx 0.74 wt.%)
T_C = 375.0 [oC]
total_time = 1000.0 [s]; n_time = 30800

mart: structure = bcc; E = 0.0 [J/mol]; type_D = 3 (pseudophase alpha + carbides)
      thermodynamical data: thermo/FoFo/TCFE8/375-bcc.txt
      z0 = -1.16 um; zn = -0.66 um; n = 50
aus1: structure = fcc; E = 0.0 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-fcc.txt
      z0 = -0.66 um; zn = -0.33 um; n = 100
fer1: structure = bcc; E = 1787.5852936460433 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-bcc.txt
      z0 = -0.33 um; zn = -0.33 um; n = 10
aus2: structure = fcc; E = 0.0 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-fcc.txt
      z0 = -0.33 um; zn = 0.00 um; n = 100
fer2: structure = bcc; E = 1787.5852936460433 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-bcc.txt
      z0 = 0.00 um; zn = 0.00 um; n = 10
int1: type_int = 1 (fixed.fluxes)
int2: type_int = 3 (mobile.mmode)
int3: type_int = 3 (mobile.mmode)
int4: type_int = 3 (mobile.mmode)

 7200: t=1.800, cavg*=0.996998, r_mart=1.47217, r_aus1=0.0560542, r_fer1=0, r_aus2=0.0133158, r_fer2=0
 7400: t=1.900, cavg*=0.996984, r_mart=1.47264, r_aus1=0.0561686, r_fer1=0, r_aus2=0.0135295, r_fer2=0
 7600: t=2.000, cavg*=0.996971, r_mart=1.4731, r_aus1=0.0562822, r_fer1=0, r_aus2=0.0137386, r_fer2=0
 7800: t=3.000, cavg*=0.99655, r_mart=14.7726, r_aus1=0.573779, r_fer1=0, r_aus2=0.155174, r_fer2=0
 8000: t=4.000, cavg*=0.996244, r_mart=14.8085, r_aus1=0.584244, r_fer1=0, r_aus2=0.171739, r_fer2=0
 8200: t=5.000, cavg*=0.996007, r_mart=14.8405, r_aus1=0.594307, r_fer1=0, r_aus2=0.187098, r_fer2=0
 8400: t=6.000, cavg*=0.995813, r_mart=14.8695, r_aus1=0.604064, r_fer1=0, r_aus2=0.201654, r_fer2=0
 8600: t=7.000, cavg*=0.995648, r_mart=14.8963, r_aus1=0.61358, r_fer1=0, r_aus2=0.215666, r_fer2=0
 8800: t=8.000, cavg*=0.995503, r_mart=14.9213, r_aus1=0.622902, r_fer1=0, r_aus2=0.229302, r_fer2=0
 9000: t=9.000, cavg*=0.995375, r_mart=14.9449, r_aus1=0.632063, r_fer1=0, r_aus2=0.242691, r_fer2=0
 9200: t=10.000, cavg*=0.995259, r_mart=14.9672, r_aus1=0.641093, r_fer1=0, r_aus2=0.255932, r_fer2=0
 9400: t=11.000, cavg*=0.995152, r_mart=14.9884, r_aus1=0.650013, r_fer1=0, r_aus2=0.269111, r_fer2=0
 9600: t=12.000, cavg*=0.995053, r_mart=15.0088, r_aus1=0.658844, r_fer1=0, r_aus2=0.282288, r_fer2=0
 9800: t=13.000, cavg*=0.99496, r_mart=15.0283, r_aus1=0.6676, r_fer1=0, r_aus2=0.295504, r_fer2=0
10000: t=14.000, cavg*=0.994873, r_mart=15.0471, r_aus1=0.676287, r_fer1=0, r_aus2=0.308772, r_fer2=0
10200: t=15.000, cavg*=0.994791, r_mart=15.0652, r_aus1=0.684915, r_fer1=0, r_aus2=0.322152, r_fer2=0
10400: t=16.000, cavg*=0.994712, r_mart=15.0828, r_aus1=0.693489, r_fer1=0, r_aus2=0.33569, r_fer2=0
10600: t=17.000, cavg*=0.994637, r_mart=15.0998, r_aus1=0.70201, r_fer1=0, r_aus2=0.349432, r_fer2=0
10800: t=18.000, cavg*=0.994564, r_mart=15.1163, r_aus1=0.710474, r_fer1=0, r_aus2=0.363424, r_fer2=0
11000: t=19.000, cavg*=0.994492, r_mart=15.1324, r_aus1=0.718872, r_fer1=0, r_aus2=0.377711, r_fer2=0
11200: t=20.000, cavg*=0.994422, r_mart=15.148, r_aus1=0.727189, r_fer1=0, r_aus2=0.392345, r_fer2=0
11400: t=30.000, cavg*=0.988369, r_mart=152.83, r_aus1=8.03081, r_fer1=0, r_aus2=5.60115, r_fer2=0
11600: t=40.000, cavg*=0.981648, r_mart=153.833, r_aus1=8.46374, r_fer1=0, r_aus2=8.11121, r_fer2=0
11800: t=50.000, cavg*=0.975962, r_mart=154.541, r_aus1=8.56203, r_fer1=0, r_aus2=10.8579, r_fer2=0
12000: t=60.000, cavg*=0.972254, r_mart=155.066, r_aus1=8.46965, r_fer1=0, r_aus2=12.8698, r_fer2=0
12200: t=70.000, cavg*=0.970306, r_mart=155.5, r_aus1=8.29417, r_fer1=0, r_aus2=13.9132, r_fer2=0
12400: t=80.000, cavg*=0.969391, r_mart=155.893, r_aus1=8.09015, r_fer1=0, r_aus2=14.3205, r_fer2=0
12600: t=90.000, cavg*=0.968965, r_mart=156.264, r_aus1=7.88131, r_fer1=0, r_aus2=14.4169, r_fer2=0
12800: t=100.000, cavg*=0.96875, r_mart=156.625, r_aus1=7.67707, r_fer1=0, r_aus2=14.3789, r_fer2=0
13000: t=110.000, cavg*=0.968624, r_mart=156.978, r_aus1=7.48082, r_fer1=0, r_aus2=14.2855, r_fer2=0
