coupled_FoFo_375_mu30e3.log @ arthur-ltf
2018-06-17T07:24:16

c0 = 3.344140e-02 (approx 0.74 wt.%)
T_C = 375.0 [oC]
total_time = 100.0 [s]; n_time = 20000

mart: structure = bcc; E = 0.0 [J/mol]; type_D = 3 (pseudophase alpha + carbides)
      thermodynamical data: thermo/FoFo/TCFE8/375-bcc.txt
      z0 = -1.16 um; zn = -0.66 um; n = 40
aus1: structure = fcc; E = 0.0 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-fcc.txt
      z0 = -0.66 um; zn = -0.33 um; n = 100
fer1: structure = bcc; E = 1787.5852936460433 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-bcc.txt
      z0 = -0.33 um; zn = -0.33 um; n = 10
aus2: structure = fcc; E = 0.0 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-fcc.txt
      z0 = -0.33 um; zn = 0.00 um; n = 100
fer2: structure = bcc; E = 1787.5852936460433 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-bcc.txt
      z0 = 0.00 um; zn = 0.00 um; n = 10
int1: type_int = 1 (fixed.fluxes)
int2: type_int = 3 (mobile.mmode)
int4: type_int = 3 (mobile.mmode)
int4: type_int = 3 (mobile.mmode)

   10: t=0.045, cavg*=0.985862, r_mart=9.46007, r_aus1=2.74801, r_fer1=0, r_aus2=0.100093, r_fer2=0
   20: t=0.095, cavg*=0.984273, r_mart=9.44234, r_aus1=2.77742, r_fer1=0, r_aus2=0.138513, r_fer2=0
   30: t=0.145, cavg*=0.98302, r_mart=9.4353, r_aus1=2.802, r_fer1=0, r_aus2=0.161408, r_fer2=0
   40: t=0.195, cavg*=0.98214, r_mart=9.43269, r_aus1=2.82359, r_fer1=0, r_aus2=0.18125, r_fer2=0
   50: t=0.245, cavg*=0.981559, r_mart=9.43301, r_aus1=2.84285, r_fer1=0, r_aus2=0.198265, r_fer2=0
   60: t=0.295, cavg*=0.981191, r_mart=9.43541, r_aus1=2.86029, r_fer1=0, r_aus2=0.212833, r_fer2=0
   70: t=0.345, cavg*=0.98097, r_mart=9.43922, r_aus1=2.87628, r_fer1=0, r_aus2=0.225335, r_fer2=0
   80: t=0.395, cavg*=0.980851, r_mart=9.44397, r_aus1=2.89112, r_fer1=0, r_aus2=0.236222, r_fer2=0
   90: t=0.445, cavg*=0.9808, r_mart=9.44931, r_aus1=2.90503, r_fer1=0, r_aus2=0.245808, r_fer2=0
  100: t=0.495, cavg*=0.980797, r_mart=9.455, r_aus1=2.91815, r_fer1=0, r_aus2=0.254341, r_fer2=0
  110: t=0.545, cavg*=0.980828, r_mart=9.4609, r_aus1=2.93062, r_fer1=0, r_aus2=0.26203, r_fer2=0
  120: t=0.595, cavg*=0.980882, r_mart=9.4669, r_aus1=2.94252, r_fer1=0, r_aus2=0.269031, r_fer2=0
