coupled_FoFo_375_CCEpara.log @ arthur-tud
2019-07-15T12:37:32

c0 = 3.344140e-02 (approx 0.74 wt.%)
T_C = 375.0 [oC]
total_time = 1000.0 [s]; n_time = 74000

mart: structure = bcc; E = 0.0 [J/mol]; type_D = 3 (pseudophase alpha + carbides)
      thermodynamical data: thermo/FoFo/TCFE8/375-bcc.txt
      z0 = -1.16 um; zn = -0.66 um; n = 50
aus1: structure = fcc; E = 0.0 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-fcc.txt
      z0 = -0.66 um; zn = -0.33 um; n = 100
fer1: structure = bcc; E = 1787.5852936460433 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-bcc.txt
      z0 = -0.33 um; zn = -0.33 um; n = 10
aus2: structure = fcc; E = 0.0 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-fcc.txt
      z0 = -0.33 um; zn = 0.00 um; n = 100
fer2: structure = bcc; E = 1787.5852936460433 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-bcc.txt
      z0 = 0.00 um; zn = 0.00 um; n = 10
int1: type_int = 1 (fixed.fluxes)
int2: type_int = 3 (mobile.mmode)
int3: type_int = 3 (mobile.mmode)
int4: type_int = 3 (mobile.mmode)

 7400: t=0.370, cavg*=1.0118, r_mart=0.155985, r_aus1=0.197792, r_fer1=0, r_aus2=0.000969304, r_fer2=0
 7600: t=0.380, cavg*=1.01181, r_mart=0.156057, r_aus1=0.197841, r_fer1=0, r_aus2=0.000973426, r_fer2=0
 7800: t=0.390, cavg*=1.01181, r_mart=0.156131, r_aus1=0.19789, r_fer1=0, r_aus2=0.000977497, r_fer2=0
 8000: t=0.400, cavg*=1.01181, r_mart=0.156205, r_aus1=0.197939, r_fer1=0, r_aus2=0.00098152, r_fer2=0
 8200: t=0.410, cavg*=1.01182, r_mart=0.156281, r_aus1=0.197987, r_fer1=0, r_aus2=0.000985496, r_fer2=0
 8400: t=0.420, cavg*=1.01182, r_mart=0.156357, r_aus1=0.198036, r_fer1=0, r_aus2=0.000989428, r_fer2=0
 8600: t=0.430, cavg*=1.01182, r_mart=0.156434, r_aus1=0.198084, r_fer1=0, r_aus2=0.000993313, r_fer2=0
 8800: t=0.440, cavg*=1.01183, r_mart=0.156512, r_aus1=0.198133, r_fer1=0, r_aus2=0.000997156, r_fer2=0
 9000: t=0.450, cavg*=1.01183, r_mart=0.156591, r_aus1=0.198181, r_fer1=0, r_aus2=0.00100096, r_fer2=0
 9200: t=0.460, cavg*=1.01183, r_mart=0.15667, r_aus1=0.198229, r_fer1=0, r_aus2=0.00100472, r_fer2=0
 9400: t=0.470, cavg*=1.01184, r_mart=0.15675, r_aus1=0.198277, r_fer1=0, r_aus2=0.00100845, r_fer2=0
 9600: t=0.480, cavg*=1.01184, r_mart=0.15683, r_aus1=0.198325, r_fer1=0, r_aus2=0.00101214, r_fer2=0
 9800: t=0.490, cavg*=1.01184, r_mart=0.15691, r_aus1=0.198373, r_fer1=0, r_aus2=0.00101579, r_fer2=0
10000: t=0.500, cavg*=1.01185, r_mart=0.156991, r_aus1=0.198421, r_fer1=0, r_aus2=0.00101941, r_fer2=0
10200: t=0.510, cavg*=1.01185, r_mart=0.157072, r_aus1=0.198468, r_fer1=0, r_aus2=0.001023, r_fer2=0
10400: t=0.520, cavg*=1.01185, r_mart=0.157154, r_aus1=0.198516, r_fer1=0, r_aus2=0.00102655, r_fer2=0
10600: t=0.530, cavg*=1.01186, r_mart=0.157236, r_aus1=0.198564, r_fer1=0, r_aus2=0.00103007, r_fer2=0
10800: t=0.540, cavg*=1.01186, r_mart=0.157317, r_aus1=0.198611, r_fer1=0, r_aus2=0.00103357, r_fer2=0
11000: t=0.550, cavg*=1.01186, r_mart=0.1574, r_aus1=0.198658, r_fer1=0, r_aus2=0.00103703, r_fer2=0
11200: t=0.560, cavg*=1.01187, r_mart=0.157482, r_aus1=0.198705, r_fer1=0, r_aus2=0.00104046, r_fer2=0
11400: t=0.570, cavg*=1.01187, r_mart=0.157564, r_aus1=0.198753, r_fer1=0, r_aus2=0.00104387, r_fer2=0
11600: t=0.580, cavg*=1.01187, r_mart=0.157646, r_aus1=0.1988, r_fer1=0, r_aus2=0.00104725, r_fer2=0
11800: t=0.590, cavg*=1.01187, r_mart=0.157728, r_aus1=0.198847, r_fer1=0, r_aus2=0.0010506, r_fer2=0
12000: t=0.600, cavg*=1.01188, r_mart=0.157811, r_aus1=0.198894, r_fer1=0, r_aus2=0.00105392, r_fer2=0
12200: t=0.610, cavg*=1.01188, r_mart=0.157893, r_aus1=0.19894, r_fer1=0, r_aus2=0.00105722, r_fer2=0
