mart_FoFo_mu23e3.log @ arthur-ltf
2018-06-17T07:07:29

c0 = 3.344140e-02 (approx 0.74 wt.%)
T_C = 375.0 [oC]
total_time = 1000.0 [s]; n_time = 20000

mart: structure = bcc; E = 0.0 [J/mol]; type_D = 3 (pseudophase alpha + carbides)
      thermodynamical data: thermo/FoFo/TCFE8/375-bcc.txt
      z0 = -1.16 um; zn = -0.66 um; n = 20
aust: structure = fcc; E = 0.0 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-fcc.txt
      z0 = -0.66 um; zn = 0.00 um; n = 100
intf: type_int = 1 (fixed.fluxes)

 7300: t=364.968, cavg*=0.993544, r_mart=24.3687, r_aust=0.794853
 7400: t=369.968, cavg*=0.993543, r_mart=24.3855, r_aust=0.794853
 7500: t=374.969, cavg*=0.993543, r_mart=24.4021, r_aust=0.794853
 7600: t=379.969, cavg*=0.993543, r_mart=24.4186, r_aust=0.794853
 7700: t=384.969, cavg*=0.993542, r_mart=24.4349, r_aust=0.794853
 7800: t=389.969, cavg*=0.993542, r_mart=24.4511, r_aust=0.794853
 7900: t=394.970, cavg*=0.993542, r_mart=24.4672, r_aust=0.794853
 8000: t=399.970, cavg*=0.993541, r_mart=24.4831, r_aust=0.794853
 8100: t=404.970, cavg*=0.993541, r_mart=24.4989, r_aust=0.794853
 8200: t=409.970, cavg*=0.997527, r_mart=24.5494, r_aust=1.12628
 8300: t=414.971, cavg*=0.999026, r_mart=24.5502, r_aust=0.877574
 8400: t=419.971, cavg*=0.999435, r_mart=24.5504, r_aust=0.813782
 8500: t=424.971, cavg*=0.999677, r_mart=24.5505, r_aust=0.7765
 8600: t=429.971, cavg*=0.999852, r_mart=24.5506, r_aust=0.749884
 8700: t=434.972, cavg*=0.999989, r_mart=24.5507, r_aust=0.729057
 8800: t=439.972, cavg*=1.0001, r_mart=24.5508, r_aust=0.711889
 8900: t=444.972, cavg*=1.0002, r_mart=24.5508, r_aust=0.697262
