mart_FoFo_CCE.log @ arthur-ltf
2018-06-23T07:13:19

c0 = 3.344140e-02 (approx 0.74 wt.%)
T_C = 375.0 [oC]
total_time = 1000.0 [s]; n_time = 416000

mart: structure = bcc; E = 0.0 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-bcc.txt
      z0 = -1.16 um; zn = -0.66 um; n = 50
aust: structure = fcc; E = 0.0 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-fcc.txt
      z0 = -0.66 um; zn = 0.00 um; n = 200
intf: type_int = 0 (fixed.balance)

15800: t=0.790, cavg*=1, r_mart=0.163019, r_aust=0.175929
16000: t=0.800, cavg*=1, r_mart=0.163019, r_aust=0.173139
16200: t=0.810, cavg*=1, r_mart=0.163019, r_aust=0.170405
16400: t=0.820, cavg*=1, r_mart=0.163019, r_aust=0.167729
16600: t=0.830, cavg*=1, r_mart=0.163019, r_aust=0.165114
16800: t=0.840, cavg*=1, r_mart=0.163019, r_aust=0.162554
17000: t=0.850, cavg*=1, r_mart=0.163019, r_aust=0.160048
17200: t=0.860, cavg*=1, r_mart=0.163019, r_aust=0.157594
17400: t=0.870, cavg*=1, r_mart=0.163019, r_aust=0.155195
17600: t=0.880, cavg*=1, r_mart=0.163019, r_aust=0.152848
17800: t=0.890, cavg*=1, r_mart=0.163019, r_aust=0.150551
18000: t=0.900, cavg*=1, r_mart=0.163019, r_aust=0.148302
18200: t=0.910, cavg*=1, r_mart=0.163019, r_aust=0.146103
18400: t=0.920, cavg*=1, r_mart=0.163019, r_aust=0.143951
18600: t=0.930, cavg*=1, r_mart=0.163019, r_aust=0.141846
18800: t=0.940, cavg*=1, r_mart=0.163019, r_aust=0.139786
19000: t=0.950, cavg*=1, r_mart=0.163019, r_aust=0.13777
19200: t=0.960, cavg*=1, r_mart=0.163019, r_aust=0.135797
19400: t=0.970, cavg*=1, r_mart=0.163019, r_aust=0.133867
19600: t=0.980, cavg*=1, r_mart=0.163019, r_aust=0.131979
19800: t=0.990, cavg*=1, r_mart=0.163019, r_aust=0.130131
20000: t=1.000, cavg*=1, r_mart=0.163019, r_aust=0.128323
20200: t=1.010, cavg*=1, r_mart=0.163019, r_aust=0.126553
20400: t=1.020, cavg*=1, r_mart=0.163019, r_aust=0.124821
20600: t=1.030, cavg*=1, r_mart=0.163019, r_aust=0.123127
20800: t=1.040, cavg*=1, r_mart=0.163019, r_aust=0.121468
21000: t=1.050, cavg*=1, r_mart=0.163019, r_aust=0.119845
21200: t=1.060, cavg*=1, r_mart=0.163019, r_aust=0.118256
21400: t=1.070, cavg*=1, r_mart=0.163019, r_aust=0.1167
21600: t=1.080, cavg*=1, r_mart=0.163019, r_aust=0.115178
21800: t=1.090, cavg*=1, r_mart=0.163019, r_aust=0.113688
22000: t=1.100, cavg*=1, r_mart=0.163019, r_aust=0.112229
22200: t=1.110, cavg*=1, r_mart=0.163019, r_aust=0.1108
22400: t=1.120, cavg*=1, r_mart=0.163019, r_aust=0.109401
22600: t=1.130, cavg*=1, r_mart=0.163019, r_aust=0.108032
22800: t=1.140, cavg*=1, r_mart=0.163019, r_aust=0.106691
23000: t=1.150, cavg*=1, r_mart=0.163019, r_aust=0.105378
23200: t=1.160, cavg*=1, r_mart=0.163019, r_aust=0.104092
23400: t=1.170, cavg*=1, r_mart=0.163019, r_aust=0.102832
23600: t=1.180, cavg*=1, r_mart=0.163019, r_aust=0.101599
23800: t=1.190, cavg*=1, r_mart=0.163019, r_aust=0.10039
24000: t=1.200, cavg*=1, r_mart=0.163019, r_aust=0.0992067
24200: t=1.210, cavg*=1, r_mart=0.163019, r_aust=0.0980471
24400: t=1.220, cavg*=1, r_mart=0.163019, r_aust=0.0969109
24600: t=1.230, cavg*=1, r_mart=0.163019, r_aust=0.0957977
24800: t=1.240, cavg*=1, r_mart=0.163019, r_aust=0.0947068
25000: t=1.250, cavg*=1, r_mart=0.163019, r_aust=0.0936378
25200: t=1.260, cavg*=1, r_mart=0.163019, r_aust=0.0925901
25400: t=1.270, cavg*=1, r_mart=0.163019, r_aust=0.0915633
25600: t=1.280, cavg*=1, r_mart=0.163019, r_aust=0.0905568
25800: t=1.290, cavg*=1, r_mart=0.163019, r_aust=0.0895702
26000: t=1.300, cavg*=1, r_mart=0.163019, r_aust=0.088603
26200: t=1.310, cavg*=1, r_mart=0.163019, r_aust=0.0876547
26400: t=1.320, cavg*=1, r_mart=0.163019, r_aust=0.0867249
26600: t=1.330, cavg*=1, r_mart=0.163019, r_aust=0.0858131
26800: t=1.340, cavg*=1, r_mart=0.163019, r_aust=0.084919
27000: t=1.350, cavg*=1, r_mart=0.163019, r_aust=0.0840421
27200: t=1.360, cavg*=1, r_mart=0.163019, r_aust=0.083182
27400: t=1.370, cavg*=1, r_mart=0.163019, r_aust=0.0823383
27600: t=1.380, cavg*=1, r_mart=0.163019, r_aust=0.0815106
27800: t=1.390, cavg*=1, r_mart=0.163019, r_aust=0.0806985
28000: t=1.400, cavg*=1, r_mart=0.163019, r_aust=0.0799018
28200: t=1.410, cavg*=1, r_mart=0.163019, r_aust=0.07912
28400: t=1.420, cavg*=1, r_mart=0.163019, r_aust=0.0783527
28600: t=1.430, cavg*=1, r_mart=0.163019, r_aust=0.0775997
28800: t=1.440, cavg*=1, r_mart=0.163019, r_aust=0.0768607
29000: t=1.450, cavg*=1, r_mart=0.163019, r_aust=0.0761352
29200: t=1.460, cavg*=1, r_mart=0.163019, r_aust=0.075423
29400: t=1.470, cavg*=1, r_mart=0.163019, r_aust=0.0747238
29600: t=1.480, cavg*=1, r_mart=0.163019, r_aust=0.0740373
29800: t=1.490, cavg*=1, r_mart=0.163019, r_aust=0.0733631
30000: t=1.500, cavg*=1, r_mart=0.163019, r_aust=0.0727011
30200: t=1.510, cavg*=1, r_mart=0.163019, r_aust=0.0720509
30400: t=1.520, cavg*=1, r_mart=0.163019, r_aust=0.0714122
30600: t=1.530, cavg*=1, r_mart=0.163019, r_aust=0.0707849
30800: t=1.540, cavg*=1, r_mart=0.163019, r_aust=0.0701685
31000: t=1.550, cavg*=1, r_mart=0.163019, r_aust=0.069563
31200: t=1.560, cavg*=1, r_mart=0.163019, r_aust=0.0689681
31400: t=1.570, cavg*=1, r_mart=0.163019, r_aust=0.0683834
31600: t=1.580, cavg*=1, r_mart=0.163019, r_aust=0.0678088
31800: t=1.590, cavg*=1, r_mart=0.163019, r_aust=0.0672441
32000: t=1.600, cavg*=1, r_mart=0.163019, r_aust=0.066689
32200: t=1.610, cavg*=1, r_mart=0.163019, r_aust=0.0661434
32400: t=1.620, cavg*=1, r_mart=0.163019, r_aust=0.065607
32600: t=1.630, cavg*=1, r_mart=0.163019, r_aust=0.0650795
32800: t=1.640, cavg*=1, r_mart=0.163019, r_aust=0.0645609
33000: t=1.650, cavg*=1, r_mart=0.163019, r_aust=0.064051
33200: t=1.660, cavg*=1, r_mart=0.163019, r_aust=0.0635494
33400: t=1.670, cavg*=1, r_mart=0.163019, r_aust=0.0630561
33600: t=1.680, cavg*=1, r_mart=0.163019, r_aust=0.0625709
33800: t=1.690, cavg*=1, r_mart=0.163019, r_aust=0.0620936
34000: t=1.700, cavg*=1, r_mart=0.163019, r_aust=0.061624
34200: t=1.710, cavg*=1, r_mart=0.163019, r_aust=0.061162
34400: t=1.720, cavg*=1, r_mart=0.163019, r_aust=0.0607074
34600: t=1.730, cavg*=1, r_mart=0.163019, r_aust=0.06026
34800: t=1.740, cavg*=1, r_mart=0.163019, r_aust=0.0598197
35000: t=1.750, cavg*=1, r_mart=0.163019, r_aust=0.0593863
35200: t=1.760, cavg*=1, r_mart=0.163019, r_aust=0.0589597
35400: t=1.770, cavg*=1, r_mart=0.163019, r_aust=0.0585398
35600: t=1.780, cavg*=1, r_mart=0.163019, r_aust=0.0581264
35800: t=1.790, cavg*=1, r_mart=0.163019, r_aust=0.0577193
36000: t=1.800, cavg*=1, r_mart=0.163019, r_aust=0.0573185
36200: t=1.810, cavg*=1, r_mart=0.163019, r_aust=0.0569238
36400: t=1.820, cavg*=1, r_mart=0.163019, r_aust=0.0565351
36600: t=1.830, cavg*=1, r_mart=0.163019, r_aust=0.0561522
36800: t=1.840, cavg*=1, r_mart=0.163019, r_aust=0.0557751
37000: t=1.850, cavg*=1, r_mart=0.163019, r_aust=0.0554035
37200: t=1.860, cavg*=1, r_mart=0.163019, r_aust=0.0550375
37400: t=1.870, cavg*=1, r_mart=0.163019, r_aust=0.0546769
37600: t=1.880, cavg*=1, r_mart=0.163019, r_aust=0.0543216
37800: t=1.890, cavg*=1, r_mart=0.163019, r_aust=0.0539714
38000: t=1.900, cavg*=1, r_mart=0.163019, r_aust=0.0536264
38200: t=1.910, cavg*=1, r_mart=0.163019, r_aust=0.0532863
38400: t=1.920, cavg*=1, r_mart=0.163019, r_aust=0.052951
38600: t=1.930, cavg*=1, r_mart=0.163019, r_aust=0.0526206
38800: t=1.940, cavg*=1, r_mart=0.163019, r_aust=0.0522948
39000: t=1.950, cavg*=1, r_mart=0.163019, r_aust=0.0519736
39200: t=1.960, cavg*=1, r_mart=0.163019, r_aust=0.0516569
39400: t=1.970, cavg*=1, r_mart=0.163019, r_aust=0.0513446
39600: t=1.980, cavg*=1, r_mart=0.163019, r_aust=0.0510367
39800: t=1.990, cavg*=1, r_mart=0.163019, r_aust=0.050733
40000: t=2.000, cavg*=1, r_mart=0.163019, r_aust=0.0504334
40200: t=2.100, cavg*=1, r_mart=1.63019, r_aust=0.476614
40400: t=2.200, cavg*=1, r_mart=1.63019, r_aust=0.452142
40600: t=2.300, cavg*=1, r_mart=1.63019, r_aust=0.430491
40800: t=2.400, cavg*=1, r_mart=1.63019, r_aust=0.411203
41000: t=2.500, cavg*=1, r_mart=1.63019, r_aust=0.393913
41200: t=2.600, cavg*=1, r_mart=1.63019, r_aust=0.378323
41400: t=2.700, cavg*=1, r_mart=1.63019, r_aust=0.364191
41600: t=2.800, cavg*=1, r_mart=1.63019, r_aust=0.351316
41800: t=2.900, cavg*=1, r_mart=1.63019, r_aust=0.339532
42000: t=3.000, cavg*=1, r_mart=1.63019, r_aust=0.328703
42200: t=3.100, cavg*=1, r_mart=1.63019, r_aust=0.318711
42400: t=3.200, cavg*=1, r_mart=1.63019, r_aust=0.309458
42600: t=3.300, cavg*=1, r_mart=1.63019, r_aust=0.300863
42800: t=3.400, cavg*=1, r_mart=1.63019, r_aust=0.292853
43000: t=3.500, cavg*=1, r_mart=1.63019, r_aust=0.285369
43200: t=3.600, cavg*=1, r_mart=1.63019, r_aust=0.278357
43400: t=3.700, cavg*=1, r_mart=1.63019, r_aust=0.271771
43600: t=3.800, cavg*=1, r_mart=1.63019, r_aust=0.265572
43800: t=3.900, cavg*=1, r_mart=1.63019, r_aust=0.259724
44000: t=4.000, cavg*=1, r_mart=1.63019, r_aust=0.254197
44200: t=4.100, cavg*=1, r_mart=1.63019, r_aust=0.248965
44400: t=4.200, cavg*=1, r_mart=1.63019, r_aust=0.244002
44600: t=4.300, cavg*=1, r_mart=1.63019, r_aust=0.239287
44800: t=4.400, cavg*=1, r_mart=1.63019, r_aust=0.234801
45000: t=4.500, cavg*=1, r_mart=1.63019, r_aust=0.230527
45200: t=4.600, cavg*=1, r_mart=1.63019, r_aust=0.226449
45400: t=4.700, cavg*=1, r_mart=1.63019, r_aust=0.222554
45600: t=4.800, cavg*=1, r_mart=1.63019, r_aust=0.218828
45800: t=4.900, cavg*=1, r_mart=1.63019, r_aust=0.21526
46000: t=5.000, cavg*=1, r_mart=1.63019, r_aust=0.211841
46200: t=5.100, cavg*=1, r_mart=1.63019, r_aust=0.208559
46400: t=5.200, cavg*=1, r_mart=1.63019, r_aust=0.205408
46600: t=5.300, cavg*=1, r_mart=1.63019, r_aust=0.202377
46800: t=5.400, cavg*=1, r_mart=1.63019, r_aust=0.199462
47000: t=5.500, cavg*=1, r_mart=1.63019, r_aust=0.196654
47200: t=5.600, cavg*=1, r_mart=1.63019, r_aust=0.193947
47400: t=5.700, cavg*=1, r_mart=1.63019, r_aust=0.191336
47600: t=5.800, cavg*=1, r_mart=1.63019, r_aust=0.188816
47800: t=5.900, cavg*=1, r_mart=1.63019, r_aust=0.186381
48000: t=6.000, cavg*=1, r_mart=1.63019, r_aust=0.184027
48200: t=6.100, cavg*=1, r_mart=1.63019, r_aust=0.18175
48400: t=6.200, cavg*=1, r_mart=1.63019, r_aust=0.179546
48600: t=6.300, cavg*=1, r_mart=1.63019, r_aust=0.177412
48800: t=6.400, cavg*=1, r_mart=1.63019, r_aust=0.175343
49000: t=6.500, cavg*=1, r_mart=1.63019, r_aust=0.173337
49200: t=6.600, cavg*=1, r_mart=1.63019, r_aust=0.17139
49400: t=6.700, cavg*=1, r_mart=1.63019, r_aust=0.169501
49600: t=6.800, cavg*=1, r_mart=1.63019, r_aust=0.167666
49800: t=6.900, cavg*=1, r_mart=1.63019, r_aust=0.165883
50000: t=7.000, cavg*=1, r_mart=1.63019, r_aust=0.16415
50200: t=7.100, cavg*=1, r_mart=1.63019, r_aust=0.162464
50400: t=7.200, cavg*=1, r_mart=1.63019, r_aust=0.160823
50600: t=7.300, cavg*=1, r_mart=1.63019, r_aust=0.159226
50800: t=7.400, cavg*=1, r_mart=1.63019, r_aust=0.157671
51000: t=7.500, cavg*=1, r_mart=1.63019, r_aust=0.156155
51200: t=7.600, cavg*=1, r_mart=1.63019, r_aust=0.154678
51400: t=7.700, cavg*=1, r_mart=1.63019, r_aust=0.153238
51600: t=7.800, cavg*=1, r_mart=1.63019, r_aust=0.151834
51800: t=7.900, cavg*=1, r_mart=1.63019, r_aust=0.150463
52000: t=8.000, cavg*=1, r_mart=1.63019, r_aust=0.149125
52200: t=8.100, cavg*=1, r_mart=1.63019, r_aust=0.147819
52400: t=8.200, cavg*=1, r_mart=1.63019, r_aust=0.146543
52600: t=8.300, cavg*=1, r_mart=1.63019, r_aust=0.145296
52800: t=8.400, cavg*=1, r_mart=1.63019, r_aust=0.144077
53000: t=8.500, cavg*=1, r_mart=1.63019, r_aust=0.142886
53200: t=8.600, cavg*=1, r_mart=1.63019, r_aust=0.141721
53400: t=8.700, cavg*=1, r_mart=1.63019, r_aust=0.140581
53600: t=8.800, cavg*=1, r_mart=1.63019, r_aust=0.139466
53800: t=8.900, cavg*=1, r_mart=1.63019, r_aust=0.138374
54000: t=9.000, cavg*=1, r_mart=1.63019, r_aust=0.137305
54200: t=9.100, cavg*=1, r_mart=1.63019, r_aust=0.136258
54400: t=9.200, cavg*=1, r_mart=1.63019, r_aust=0.135233
54600: t=9.300, cavg*=1, r_mart=1.63019, r_aust=0.134228
54800: t=9.400, cavg*=1, r_mart=1.63019, r_aust=0.133244
55000: t=9.500, cavg*=1, r_mart=1.63019, r_aust=0.132278
55200: t=9.600, cavg*=1, r_mart=1.63019, r_aust=0.131332
55400: t=9.700, cavg*=1, r_mart=1.63019, r_aust=0.130404
55600: t=9.800, cavg*=1, r_mart=1.63019, r_aust=0.129493
55800: t=9.900, cavg*=1, r_mart=1.63019, r_aust=0.1286
56000: t=10.000, cavg*=1, r_mart=1.63019, r_aust=0.127723
56200: t=10.100, cavg*=1, r_mart=1.63019, r_aust=0.126862
