mart_FoFo_mu20e3.log @ arthur-laptop
2018-06-24T21:30:11

c0 = 3.344140e-02 (approx 0.74 wt.%)
T_C = 375.0 [oC]
total_time = 10000.0 [s]; n_time = 48800

mart: structure = bcc; E = 0.0 [J/mol]; type_D = 3 (pseudophase alpha + carbides)
      thermodynamical data: thermo/FoFo/TCFE8/375-bcc.txt
      z0 = -1.16 um; zn = -0.66 um; n = 20
aust: structure = fcc; E = 0.0 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-fcc.txt
      z0 = -0.66 um; zn = 0.00 um; n = 100
intf: type_int = 1 (fixed.fluxes)

14200: t=170.000, cavg*=0.998949, r_mart=22.4392, r_aust=0.341359
14400: t=180.000, cavg*=0.998948, r_mart=22.457, r_aust=0.341359
14600: t=190.000, cavg*=0.998948, r_mart=22.4744, r_aust=0.341359
14800: t=200.000, cavg*=0.998947, r_mart=22.4912, r_aust=0.341359
15000: t=210.000, cavg*=0.998946, r_mart=22.5077, r_aust=0.341359
15200: t=220.000, cavg*=0.998945, r_mart=22.5238, r_aust=0.341359
15400: t=230.000, cavg*=0.998945, r_mart=22.5395, r_aust=0.341359
15600: t=240.000, cavg*=0.998944, r_mart=22.5549, r_aust=0.341359
15800: t=250.000, cavg*=0.998944, r_mart=22.5699, r_aust=0.341359
16000: t=260.000, cavg*=0.998943, r_mart=22.5847, r_aust=0.341359
16200: t=270.000, cavg*=0.998943, r_mart=22.5991, r_aust=0.341359
16400: t=280.000, cavg*=0.998942, r_mart=22.6134, r_aust=0.341359
16600: t=290.000, cavg*=0.998942, r_mart=22.6273, r_aust=0.341359
16800: t=300.000, cavg*=0.998942, r_mart=22.641, r_aust=0.341359
17000: t=310.000, cavg*=0.998941, r_mart=22.6545, r_aust=0.341359
17200: t=320.000, cavg*=0.998941, r_mart=22.6678, r_aust=0.341359
17400: t=330.000, cavg*=0.99894, r_mart=22.6809, r_aust=0.341359
17600: t=340.000, cavg*=0.99894, r_mart=22.6937, r_aust=0.341359
17800: t=350.000, cavg*=0.99894, r_mart=22.7064, r_aust=0.341359
18000: t=360.000, cavg*=0.998939, r_mart=22.7189, r_aust=0.341359
18200: t=370.000, cavg*=0.998939, r_mart=22.7312, r_aust=0.341359
18400: t=380.000, cavg*=0.998939, r_mart=22.7433, r_aust=0.341359
18600: t=390.000, cavg*=0.998939, r_mart=22.7553, r_aust=0.341359
18800: t=400.000, cavg*=0.998938, r_mart=22.7671, r_aust=0.341359
19000: t=410.000, cavg*=0.998938, r_mart=22.7788, r_aust=0.341359
19200: t=420.000, cavg*=0.998938, r_mart=22.7903, r_aust=0.341359
19400: t=430.000, cavg*=0.998937, r_mart=22.8017, r_aust=0.341359
19600: t=440.000, cavg*=0.998937, r_mart=22.8129, r_aust=0.341359
19800: t=450.000, cavg*=0.998937, r_mart=22.824, r_aust=0.341359
20000: t=460.000, cavg*=0.998937, r_mart=22.8349, r_aust=0.341359
20200: t=470.000, cavg*=0.998936, r_mart=22.8457, r_aust=0.341359
20400: t=480.000, cavg*=0.998936, r_mart=22.8564, r_aust=0.341359
20600: t=490.000, cavg*=0.998936, r_mart=22.867, r_aust=0.341359
20800: t=500.000, cavg*=0.998936, r_mart=22.8774, r_aust=0.341359
21000: t=510.000, cavg*=0.998936, r_mart=22.8877, r_aust=0.341359
21200: t=520.000, cavg*=0.998935, r_mart=22.8979, r_aust=0.341359
21400: t=530.000, cavg*=0.998935, r_mart=22.908, r_aust=0.341359
21600: t=540.000, cavg*=0.998935, r_mart=22.9179, r_aust=0.341359
21800: t=550.000, cavg*=0.998935, r_mart=22.9278, r_aust=0.341359
22000: t=560.000, cavg*=0.998935, r_mart=22.9375, r_aust=0.341359
22200: t=570.000, cavg*=0.998934, r_mart=22.9471, r_aust=0.341359
22400: t=580.000, cavg*=0.998934, r_mart=22.9566, r_aust=0.341359
22600: t=590.000, cavg*=0.998934, r_mart=22.966, r_aust=0.341359
22800: t=600.000, cavg*=0.998934, r_mart=22.9753, r_aust=0.341359
23000: t=610.000, cavg*=0.998933, r_mart=22.9844, r_aust=0.341359
23200: t=620.000, cavg*=0.998933, r_mart=22.9935, r_aust=0.341359
23400: t=630.000, cavg*=0.998933, r_mart=23.0025, r_aust=0.341359
23600: t=640.000, cavg*=0.998933, r_mart=23.0113, r_aust=0.341359
23800: t=650.000, cavg*=0.998933, r_mart=23.0201, r_aust=0.341359
24000: t=660.000, cavg*=0.998933, r_mart=23.0287, r_aust=0.341359
24200: t=670.000, cavg*=0.998932, r_mart=23.0373, r_aust=0.341359
