# n=120
# ti=5 tf=1000 tstep=5 ntime=200
z c strct
-6.863158e-01 2.784201e-02 mart
-6.600000e-01 2.783115e-02 mart
-6.600000e-01 6.828630e-02 aust
-6.533333e-01 6.704441e-02 aust
-6.466667e-01 6.573006e-02 aust
-6.400000e-01 6.433955e-02 aust
-6.333333e-01 6.286957e-02 aust
-6.266667e-01 6.131746e-02 aust
-6.200000e-01 5.968169e-02 aust
-6.133333e-01 5.796242e-02 aust
-6.066667e-01 5.616234e-02 aust
-6.000000e-01 5.428759e-02 aust
-5.933333e-01 5.234905e-02 aust
-5.866667e-01 5.036355e-02 aust
-5.800000e-01 4.835512e-02 aust
-5.733333e-01 4.635560e-02 aust
-5.666667e-01 4.440417e-02 aust
-5.600000e-01 4.254515e-02 aust
-5.533333e-01 4.082372e-02 aust
-5.466667e-01 3.928000e-02 aust
-5.400000e-01 3.794287e-02 aust
-5.333333e-01 3.682556e-02 aust
-5.266667e-01 3.592461e-02 aust
-5.200000e-01 3.522241e-02 aust
-5.133333e-01 3.469203e-02 aust
-5.066667e-01 3.430266e-02 aust
-5.000000e-01 3.402397e-02 aust
-4.933333e-01 3.382897e-02 aust
-4.866667e-01 3.369526e-02 aust
-4.800000e-01 3.360526e-02 aust
-4.733333e-01 3.354570e-02 aust
-4.666667e-01 3.350690e-02 aust
-4.600000e-01 3.348200e-02 aust
-4.533333e-01 3.346624e-02 aust
-4.466667e-01 3.345641e-02 aust
-4.400000e-01 3.345036e-02 aust
-4.333333e-01 3.344668e-02 aust
-4.266667e-01 3.344448e-02 aust
-4.200000e-01 3.344317e-02 aust
-4.133333e-01 3.344241e-02 aust
-4.066667e-01 3.344197e-02 aust
-4.000000e-01 3.344172e-02 aust
-3.933333e-01 3.344157e-02 aust
-3.866667e-01 3.344149e-02 aust
-3.800000e-01 3.344145e-02 aust
-3.733333e-01 3.344143e-02 aust
-3.666667e-01 3.344141e-02 aust
-3.600000e-01 3.344141e-02 aust
-3.533333e-01 3.344140e-02 aust
-3.466667e-01 3.344140e-02 aust
-3.400000e-01 3.344140e-02 aust
-3.333333e-01 3.344140e-02 aust
-3.266667e-01 3.344140e-02 aust
-3.200000e-01 3.344140e-02 aust
-3.133333e-01 3.344140e-02 aust
-3.066667e-01 3.344140e-02 aust
-3.000000e-01 3.344140e-02 aust
-2.933333e-01 3.344140e-02 aust
-2.866667e-01 3.344140e-02 aust
-2.800000e-01 3.344140e-02 aust
-2.733333e-01 3.344140e-02 aust
-2.666667e-01 3.344140e-02 aust
-2.600000e-01 3.344140e-02 aust
-2.533333e-01 3.344140e-02 aust
-2.466667e-01 3.344140e-02 aust
-2.400000e-01 3.344140e-02 aust
-2.333333e-01 3.344140e-02 aust
-2.266667e-01 3.344140e-02 aust
-2.200000e-01 3.344140e-02 aust
-2.133333e-01 3.344140e-02 aust
-2.066667e-01 3.344140e-02 aust
-2.000000e-01 3.344140e-02 aust
-1.933333e-01 3.344140e-02 aust
-1.866667e-01 3.344140e-02 aust
-1.800000e-01 3.344140e-02 aust
-1.733333e-01 3.344140e-02 aust
-1.666667e-01 3.344140e-02 aust
-1.600000e-01 3.344140e-02 aust
-1.533333e-01 3.344140e-02 aust
-1.466667e-01 3.344140e-02 aust
-1.400000e-01 3.344140e-02 aust
-1.333333e-01 3.344140e-02 aust
-1.266667e-01 3.344140e-02 aust
