# n=60
# ti=5 tf=1000 tstep=5 ntime=200
z c strct
-2.828571e-01 4.196236e-02 aust
-2.693878e-01 3.856387e-02 aust
-2.559184e-01 3.622932e-02 aust
-2.424490e-01 3.483873e-02 aust
-2.289796e-01 3.409838e-02 aust
-2.155102e-01 3.373520e-02 aust
-2.020408e-01 3.356747e-02 aust
-1.885714e-01 3.349357e-02 aust
-1.751020e-01 3.346229e-02 aust
-1.616327e-01 3.344951e-02 aust
-1.481633e-01 3.344445e-02 aust
-1.346939e-01 3.344252e-02 aust
-1.212245e-01 3.344180e-02 aust
-1.077551e-01 3.344154e-02 aust
-9.428571e-02 3.344145e-02 aust
-8.081633e-02 3.344142e-02 aust
-6.734694e-02 3.344140e-02 aust
-5.387755e-02 3.344140e-02 aust
-4.040816e-02 3.344140e-02 aust
-2.693878e-02 3.344140e-02 aust
-1.346939e-02 3.344140e-02 aust
0.000000e+00 3.344140e-02 aust
-1.160000e+00 9.778330e-05 mart
-1.104444e+00 9.777504e-05 mart
-1.048889e+00 9.775024e-05 mart
-9.933333e-01 9.770893e-05 mart
-9.377778e-01 9.765114e-05 mart
-8.822222e-01 9.757690e-05 mart
-8.266667e-01 9.748627e-05 mart
-7.711111e-01 9.737930e-05 mart
-7.155556e-01 9.725608e-05 mart
-6.600000e-01 9.711668e-05 mart
-6.600000e-01 8.909464e-02 aust
-6.465306e-01 8.905248e-02 aust
-6.330612e-01 8.894830e-02 aust
-6.195918e-01 8.878153e-02 aust
-6.061224e-01 8.855119e-02 aust
-5.926531e-01 8.825587e-02 aust
-5.791837e-01 8.789370e-02 aust
-5.657143e-01 8.746232e-02 aust
-5.522449e-01 8.695884e-02 aust
-5.387755e-01 8.637977e-02 aust
-5.253061e-01 8.572099e-02 aust
-5.118367e-01 8.497760e-02 aust
-4.983673e-01 8.414390e-02 aust
-4.848980e-01 8.321322e-02 aust
-4.714286e-01 8.217777e-02 aust
-4.579592e-01 8.102853e-02 aust
-4.444898e-01 7.975500e-02 aust
-4.310204e-01 7.834505e-02 aust
-4.175510e-01 7.678466e-02 aust
-4.040816e-01 7.505775e-02 aust
-3.906122e-01 7.314606e-02 aust
-3.771429e-01 7.102921e-02 aust
-3.636735e-01 6.868522e-02 aust
-3.502041e-01 6.609174e-02 aust
-3.367347e-01 6.322890e-02 aust
-3.232653e-01 6.008487e-02 aust
-3.097959e-01 5.666588e-02 aust
