mart_FoFo_CCE_resume.log @ arthur-ltf
2018-06-14T19:42:58

c0 = 3.344140e-02 (approx 0.74 wt.%)
T_C = 375.0 [oC]
total_time = 1000.0 [s]; n_time = 20000

mart: structure = bcc; E = 0.0 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-bcc.txt
      z0 = -1.16 um; zn = -0.66 um; n = 10
aust: structure = fcc; E = 0.0 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-fcc.txt
      z0 = -0.66 um; zn = 0.00 um; n = 50
intf: type_int = 1 (fixed.fluxes)

 7300: t=364.968, cavg*=1.0162, r_mart=5.4996, r_aust=0.134817
 7400: t=369.968, cavg*=1.0162, r_mart=5.4996, r_aust=0.134574
 7500: t=374.969, cavg*=1.01619, r_mart=5.4996, r_aust=0.134344
 7600: t=379.969, cavg*=1.01619, r_mart=5.4996, r_aust=0.134126
 7700: t=384.969, cavg*=1.01618, r_mart=5.4996, r_aust=0.13392
 7800: t=389.969, cavg*=1.01618, r_mart=5.4996, r_aust=0.133725
 7900: t=394.970, cavg*=1.01618, r_mart=5.4996, r_aust=0.133539
 8000: t=399.970, cavg*=1.01617, r_mart=5.4996, r_aust=0.133364
 8100: t=404.970, cavg*=1.01617, r_mart=5.4996, r_aust=0.133198
 8200: t=409.970, cavg*=1.01617, r_mart=5.4996, r_aust=0.133041
 8300: t=414.971, cavg*=1.01616, r_mart=5.4996, r_aust=0.132891
 8400: t=419.971, cavg*=1.01616, r_mart=5.4996, r_aust=0.13275
 8500: t=424.971, cavg*=1.01616, r_mart=5.4996, r_aust=0.132616
 8600: t=429.971, cavg*=1.01616, r_mart=5.4996, r_aust=0.13249
 8700: t=434.972, cavg*=1.01615, r_mart=5.4996, r_aust=0.13237
 8800: t=439.972, cavg*=1.01615, r_mart=5.4996, r_aust=0.132256
 8900: t=444.972, cavg*=1.01615, r_mart=5.4996, r_aust=0.132148
 9000: t=449.972, cavg*=1.01615, r_mart=5.4996, r_aust=0.132046
 9100: t=454.973, cavg*=1.01615, r_mart=5.4996, r_aust=0.131949
 9200: t=459.973, cavg*=1.01614, r_mart=5.4996, r_aust=0.131858
 9300: t=464.973, cavg*=1.01614, r_mart=5.4996, r_aust=0.131771
 9400: t=469.973, cavg*=1.01614, r_mart=5.4996, r_aust=0.131689
 9500: t=474.974, cavg*=1.01614, r_mart=5.4996, r_aust=0.131611
 9600: t=479.974, cavg*=1.01614, r_mart=5.4996, r_aust=0.131537
 9700: t=484.974, cavg*=1.01614, r_mart=5.4996, r_aust=0.131467
 9800: t=489.974, cavg*=1.01614, r_mart=5.4996, r_aust=0.131401
 9900: t=494.975, cavg*=1.01613, r_mart=5.4996, r_aust=0.131338
10000: t=499.975, cavg*=1.01613, r_mart=5.4996, r_aust=0.131279
10100: t=504.975, cavg*=1.01613, r_mart=5.4996, r_aust=0.131223
10200: t=509.975, cavg*=1.01613, r_mart=5.4996, r_aust=0.131169
10300: t=514.976, cavg*=1.01613, r_mart=5.4996, r_aust=0.131119
10400: t=519.976, cavg*=1.01613, r_mart=5.4996, r_aust=0.131071
10500: t=524.976, cavg*=1.01613, r_mart=5.4996, r_aust=0.131026
10600: t=529.976, cavg*=1.01613, r_mart=5.4996, r_aust=0.130983
10700: t=534.977, cavg*=1.01613, r_mart=5.4996, r_aust=0.130942
10800: t=539.977, cavg*=1.01613, r_mart=5.4996, r_aust=0.130904
10900: t=544.977, cavg*=1.01612, r_mart=5.4996, r_aust=0.130867
11000: t=549.977, cavg*=1.01612, r_mart=5.4996, r_aust=0.130833
11100: t=554.978, cavg*=1.01612, r_mart=5.4996, r_aust=0.1308
11200: t=559.978, cavg*=1.01612, r_mart=5.4996, r_aust=0.130769
11300: t=564.978, cavg*=1.01612, r_mart=5.4996, r_aust=0.130739
11400: t=569.978, cavg*=1.01612, r_mart=5.4996, r_aust=0.130712
11500: t=574.979, cavg*=1.01612, r_mart=5.4996, r_aust=0.130685
11600: t=579.979, cavg*=1.01612, r_mart=5.4996, r_aust=0.13066
11700: t=584.979, cavg*=1.01612, r_mart=5.4996, r_aust=0.130637
11800: t=589.979, cavg*=1.01612, r_mart=5.4996, r_aust=0.130614
11900: t=594.980, cavg*=1.01612, r_mart=5.4996, r_aust=0.130593
12000: t=599.980, cavg*=1.01612, r_mart=5.4996, r_aust=0.130573
12100: t=604.980, cavg*=1.01612, r_mart=5.4996, r_aust=0.130554
12200: t=609.980, cavg*=1.01612, r_mart=5.4996, r_aust=0.130536
12300: t=614.981, cavg*=1.01612, r_mart=5.4996, r_aust=0.130519
12400: t=619.981, cavg*=1.01612, r_mart=5.4996, r_aust=0.130502
12500: t=624.981, cavg*=1.01612, r_mart=5.4996, r_aust=0.130487
12600: t=629.981, cavg*=1.01612, r_mart=5.4996, r_aust=0.130473
12700: t=634.982, cavg*=1.01612, r_mart=5.4996, r_aust=0.130459
12800: t=639.982, cavg*=1.01612, r_mart=5.4996, r_aust=0.130446
12900: t=644.982, cavg*=1.01612, r_mart=5.4996, r_aust=0.130433
13000: t=649.982, cavg*=1.01612, r_mart=5.4996, r_aust=0.130422
13100: t=654.983, cavg*=1.01612, r_mart=5.4996, r_aust=0.130411
13200: t=659.983, cavg*=1.01612, r_mart=5.4996, r_aust=0.1304
13300: t=664.983, cavg*=1.01612, r_mart=5.4996, r_aust=0.13039
13400: t=669.983, cavg*=1.01612, r_mart=5.4996, r_aust=0.130381
13500: t=674.984, cavg*=1.01612, r_mart=5.4996, r_aust=0.130372
13600: t=679.984, cavg*=1.01612, r_mart=5.4996, r_aust=0.130363
13700: t=684.984, cavg*=1.01612, r_mart=5.4996, r_aust=0.130355
13800: t=689.984, cavg*=1.01611, r_mart=5.4996, r_aust=0.130348
13900: t=694.985, cavg*=1.01611, r_mart=5.4996, r_aust=0.130341
14000: t=699.985, cavg*=1.01611, r_mart=5.4996, r_aust=0.130334
14100: t=704.985, cavg*=1.01611, r_mart=5.4996, r_aust=0.130327
14200: t=709.985, cavg*=1.01611, r_mart=5.4996, r_aust=0.130321
14300: t=714.986, cavg*=1.01611, r_mart=5.4996, r_aust=0.130315
14400: t=719.986, cavg*=1.01611, r_mart=5.4996, r_aust=0.13031
14500: t=724.986, cavg*=1.01611, r_mart=5.4996, r_aust=0.130305
14600: t=729.986, cavg*=1.01611, r_mart=5.4996, r_aust=0.1303
14700: t=734.987, cavg*=1.01611, r_mart=5.4996, r_aust=0.130295
14800: t=739.987, cavg*=1.01611, r_mart=5.4996, r_aust=0.130291
14900: t=744.987, cavg*=1.01611, r_mart=5.4996, r_aust=0.130287
15000: t=749.987, cavg*=1.01611, r_mart=5.4996, r_aust=0.130283
15100: t=754.988, cavg*=1.01611, r_mart=5.4996, r_aust=0.130279
15200: t=759.988, cavg*=1.01611, r_mart=5.4996, r_aust=0.130275
15300: t=764.988, cavg*=1.01611, r_mart=5.4996, r_aust=0.130272
15400: t=769.988, cavg*=1.01611, r_mart=5.4996, r_aust=0.130269
15500: t=774.989, cavg*=1.01611, r_mart=5.4996, r_aust=0.130266
15600: t=779.989, cavg*=1.01611, r_mart=5.4996, r_aust=0.130263
15700: t=784.989, cavg*=1.01611, r_mart=5.4996, r_aust=0.13026
15800: t=789.989, cavg*=1.01611, r_mart=5.4996, r_aust=0.130258
15900: t=794.990, cavg*=1.01611, r_mart=5.4996, r_aust=0.130255
16000: t=799.990, cavg*=1.01611, r_mart=5.4996, r_aust=0.130253
16100: t=804.990, cavg*=1.01611, r_mart=5.4996, r_aust=0.130251
16200: t=809.990, cavg*=1.01611, r_mart=5.4996, r_aust=0.130249
16300: t=814.991, cavg*=1.01611, r_mart=5.4996, r_aust=0.130247
16400: t=819.991, cavg*=1.01611, r_mart=5.4996, r_aust=0.130245
16500: t=824.991, cavg*=1.01611, r_mart=5.4996, r_aust=0.130243
16600: t=829.991, cavg*=1.01611, r_mart=5.4996, r_aust=0.130241
16700: t=834.992, cavg*=1.01611, r_mart=5.4996, r_aust=0.13024
16800: t=839.992, cavg*=1.01611, r_mart=5.4996, r_aust=0.130238
16900: t=844.992, cavg*=1.01611, r_mart=5.4996, r_aust=0.130237
17000: t=849.992, cavg*=1.01611, r_mart=5.4996, r_aust=0.130235
17100: t=854.993, cavg*=1.01611, r_mart=5.4996, r_aust=0.130234
17200: t=859.993, cavg*=1.01611, r_mart=5.4996, r_aust=0.130233
17300: t=864.993, cavg*=1.01611, r_mart=5.4996, r_aust=0.130232
17400: t=869.993, cavg*=1.01611, r_mart=5.4996, r_aust=0.130231
17500: t=874.994, cavg*=1.01611, r_mart=5.4996, r_aust=0.13023
17600: t=879.994, cavg*=1.01611, r_mart=5.4996, r_aust=0.130229
17700: t=884.994, cavg*=1.01611, r_mart=5.4996, r_aust=0.130228
17800: t=889.994, cavg*=1.01611, r_mart=5.4996, r_aust=0.130227
17900: t=894.995, cavg*=1.01611, r_mart=5.4996, r_aust=0.130226
18000: t=899.995, cavg*=1.01611, r_mart=5.4996, r_aust=0.130225
18100: t=904.995, cavg*=1.01611, r_mart=5.4996, r_aust=0.130225
18200: t=909.995, cavg*=1.01611, r_mart=5.4996, r_aust=0.130224
18300: t=914.996, cavg*=1.01611, r_mart=5.4996, r_aust=0.130223
18400: t=919.996, cavg*=1.01611, r_mart=5.4996, r_aust=0.130223
18500: t=924.996, cavg*=1.01611, r_mart=5.4996, r_aust=0.130222
18600: t=929.996, cavg*=1.01611, r_mart=5.4996, r_aust=0.130221
18700: t=934.997, cavg*=1.01611, r_mart=5.4996, r_aust=0.130221
18800: t=939.997, cavg*=1.01611, r_mart=5.4996, r_aust=0.13022
18900: t=944.997, cavg*=1.01611, r_mart=5.4996, r_aust=0.13022
19000: t=949.997, cavg*=1.01611, r_mart=5.4996, r_aust=0.13022
19100: t=954.998, cavg*=1.01611, r_mart=5.4996, r_aust=0.130219
19200: t=959.998, cavg*=1.01611, r_mart=5.4996, r_aust=0.130219
19300: t=964.998, cavg*=1.01611, r_mart=5.4996, r_aust=0.130218
19400: t=969.998, cavg*=1.01611, r_mart=5.4996, r_aust=0.130218
19500: t=974.999, cavg*=1.01611, r_mart=5.4996, r_aust=0.130218
19600: t=979.999, cavg*=1.01611, r_mart=5.4996, r_aust=0.130217
19700: t=984.999, cavg*=1.01611, r_mart=5.4996, r_aust=0.130217
19800: t=989.999, cavg*=1.01611, r_mart=5.4996, r_aust=0.130217
19900: t=995.000, cavg*=1.01611, r_mart=5.4996, r_aust=0.130216
20000: t=1000.000, cavg*=1.01611, r_mart=5.4996, r_aust=0.130216
Time elapsed: 28.95 s

