mart_FoFo_mu30e3.log @ arthur-ltf
2018-06-17T07:08:08

c0 = 3.344140e-02 (approx 0.74 wt.%)
T_C = 375.0 [oC]
total_time = 100.0 [s]; n_time = 200000

mart: structure = bcc; E = 0.0 [J/mol]; type_D = 3 (pseudophase alpha + carbides)
      thermodynamical data: thermo/FoFo/TCFE8/375-bcc.txt
      z0 = -1.16 um; zn = -0.66 um; n = 20
aust: structure = fcc; E = 0.0 [J/mol]; type_D = 0 (comp.local)
      thermodynamical data: thermo/FoFo/TCFE8/375-fcc.txt
      z0 = -0.66 um; zn = 0.00 um; n = 100
intf: type_int = 1 (fixed.fluxes)

  100: t=0.050, cavg*=0.991494, r_mart=0.223952, r_aust=0.0677963
  200: t=0.100, cavg*=0.993643, r_mart=0.223817, r_aust=0.0677963
  300: t=0.150, cavg*=0.994339, r_mart=0.223796, r_aust=0.0677963
  400: t=0.200, cavg*=0.99466, r_mart=0.223818, r_aust=0.0677963
  500: t=0.250, cavg*=0.994815, r_mart=0.223891, r_aust=0.0677963
  600: t=0.300, cavg*=0.99495, r_mart=0.223993, r_aust=0.0677963
  700: t=0.350, cavg*=0.99502, r_mart=0.224119, r_aust=0.0677963
  800: t=0.400, cavg*=0.995089, r_mart=0.224258, r_aust=0.0677963
  900: t=0.450, cavg*=0.995134, r_mart=0.224407, r_aust=0.0677963
 1000: t=0.500, cavg*=0.995172, r_mart=0.224561, r_aust=0.0677963
 1100: t=0.550, cavg*=0.995207, r_mart=0.224716, r_aust=0.0677963
 1200: t=0.600, cavg*=0.995231, r_mart=0.224873, r_aust=0.0677963
 1300: t=0.650, cavg*=0.995255, r_mart=0.225029, r_aust=0.0677963
 1400: t=0.700, cavg*=0.995275, r_mart=0.225184, r_aust=0.0677963
 1500: t=0.750, cavg*=0.995291, r_mart=0.225337, r_aust=0.0677963
 1600: t=0.800, cavg*=0.995307, r_mart=0.225489, r_aust=0.0677963
 1700: t=0.850, cavg*=0.995321, r_mart=0.225638, r_aust=0.0677963
 1800: t=0.900, cavg*=0.995333, r_mart=0.225785, r_aust=0.0677963
 1900: t=0.950, cavg*=0.995344, r_mart=0.225931, r_aust=0.0677963
 2000: t=1.000, cavg*=0.995354, r_mart=0.226074, r_aust=0.0677963
 2100: t=1.050, cavg*=0.995364, r_mart=0.226214, r_aust=0.0677963
 2200: t=1.100, cavg*=0.995372, r_mart=0.226353, r_aust=0.0677963
 2300: t=1.150, cavg*=0.99538, r_mart=0.22649, r_aust=0.0677963
 2400: t=1.200, cavg*=0.995388, r_mart=0.226624, r_aust=0.0677963
 2500: t=1.250, cavg*=0.995395, r_mart=0.226757, r_aust=0.0677963
 2600: t=1.300, cavg*=0.995401, r_mart=0.226888, r_aust=0.0677963
 2700: t=1.350, cavg*=0.995407, r_mart=0.227017, r_aust=0.0677963
 2800: t=1.400, cavg*=0.995413, r_mart=0.227145, r_aust=0.0677963
 2900: t=1.450, cavg*=0.995418, r_mart=0.22727, r_aust=0.0677963
 3000: t=1.500, cavg*=0.995423, r_mart=0.227395, r_aust=0.0677963
 3100: t=1.550, cavg*=0.995428, r_mart=0.227517, r_aust=0.0677963
 3200: t=1.600, cavg*=0.995432, r_mart=0.227638, r_aust=0.0677963
 3300: t=1.650, cavg*=0.995437, r_mart=0.227758, r_aust=0.0677963
 3400: t=1.700, cavg*=0.995441, r_mart=0.227876, r_aust=0.0677963
 3500: t=1.750, cavg*=0.995445, r_mart=0.227992, r_aust=0.0677963
 3600: t=1.800, cavg*=0.995448, r_mart=0.228108, r_aust=0.0677963
 3700: t=1.850, cavg*=0.995452, r_mart=0.228222, r_aust=0.0677963
 3800: t=1.900, cavg*=0.995455, r_mart=0.228335, r_aust=0.0677963
 3900: t=1.950, cavg*=0.995458, r_mart=0.228446, r_aust=0.0677963
 4000: t=2.000, cavg*=0.995462, r_mart=0.228557, r_aust=0.0677963
 4100: t=2.050, cavg*=0.995465, r_mart=0.228666, r_aust=0.0677963
 4200: t=2.100, cavg*=0.995467, r_mart=0.228774, r_aust=0.0677963
 4300: t=2.150, cavg*=0.99547, r_mart=0.228881, r_aust=0.0677963
 4400: t=2.200, cavg*=0.995473, r_mart=0.228987, r_aust=0.0677963
 4500: t=2.250, cavg*=0.995475, r_mart=0.229092, r_aust=0.0677963
 4600: t=2.300, cavg*=0.995478, r_mart=0.229196, r_aust=0.0677963
