t mart.cavg aust.cavg
5.000000e-04 3.344140e-02 3.367425e-02
1.000000e-03 3.340923e-02 3.367635e-02
1.500000e-03 3.339639e-02 3.367846e-02
2.000000e-03 3.338375e-02 3.368057e-02
2.500000e-03 3.337131e-02 3.368269e-02
3.000000e-03 3.335903e-02 3.368480e-02
3.500000e-03 3.334689e-02 3.368692e-02
4.000000e-03 3.333488e-02 3.368905e-02
4.500000e-03 3.332299e-02 3.369118e-02
5.000000e-03 3.331120e-02 3.369331e-02
5.500000e-03 3.329951e-02 3.369544e-02
6.000000e-03 3.328792e-02 3.369758e-02
6.500000e-03 3.327642e-02 3.369972e-02
7.000000e-03 3.326501e-02 3.370186e-02
7.500000e-03 3.325369e-02 3.370401e-02
8.000000e-03 3.324245e-02 3.370616e-02
8.500000e-03 3.323129e-02 3.370831e-02
9.000000e-03 3.322022e-02 3.371046e-02
9.500000e-03 3.320923e-02 3.371262e-02
1.000000e-02 3.319832e-02 3.371478e-02
1.050000e-02 3.318748e-02 3.371694e-02
1.100000e-02 3.317673e-02 3.371910e-02
1.150000e-02 3.316605e-02 3.372127e-02
1.200000e-02 3.315545e-02 3.372344e-02
1.250000e-02 3.314493e-02 3.372561e-02
1.300000e-02 3.313449e-02 3.372778e-02
1.350000e-02 3.312412e-02 3.372996e-02
1.400000e-02 3.311382e-02 3.373213e-02
1.450000e-02 3.310360e-02 3.373431e-02
1.500000e-02 3.309346e-02 3.373649e-02
1.550000e-02 3.308339e-02 3.373867e-02
1.600000e-02 3.307340e-02 3.374086e-02
1.650000e-02 3.306348e-02 3.374304e-02
1.700000e-02 3.305363e-02 3.374523e-02
1.750000e-02 3.304386e-02 3.374742e-02
1.800000e-02 3.303416e-02 3.374961e-02
1.850000e-02 3.302453e-02 3.375180e-02
1.900000e-02 3.301498e-02 3.375399e-02
1.950000e-02 3.300550e-02 3.375618e-02
2.000000e-02 3.299609e-02 3.375837e-02
2.050000e-02 3.298676e-02 3.376057e-02
2.100000e-02 3.297750e-02 3.376276e-02
2.150000e-02 3.296831e-02 3.376496e-02
2.200000e-02 3.295919e-02 3.376715e-02
2.250000e-02 3.295014e-02 3.376935e-02
2.300000e-02 3.294116e-02 3.377155e-02
2.350000e-02 3.293226e-02 3.377374e-02
2.400000e-02 3.292343e-02 3.377594e-02
2.450000e-02 3.291466e-02 3.377814e-02
2.500000e-02 3.290597e-02 3.378034e-02
2.550000e-02 3.289735e-02 3.378253e-02
2.600000e-02 3.288880e-02 3.378473e-02
2.650000e-02 3.288031e-02 3.378693e-02
2.700000e-02 3.287190e-02 3.378912e-02
2.750000e-02 3.286356e-02 3.379132e-02
2.800000e-02 3.285528e-02 3.379351e-02
2.850000e-02 3.284708e-02 3.379571e-02
2.900000e-02 3.283894e-02 3.379790e-02
2.950000e-02 3.283087e-02 3.380009e-02
3.000000e-02 3.282287e-02 3.380229e-02
3.050000e-02 3.281494e-02 3.380448e-02
3.100000e-02 3.280707e-02 3.380667e-02
3.150000e-02 3.279928e-02 3.380885e-02
3.200000e-02 3.279155e-02 3.381104e-02
3.250000e-02 3.278388e-02 3.381323e-02
3.300000e-02 3.277629e-02 3.381541e-02
3.350000e-02 3.276876e-02 3.381759e-02
