t mart aust
6.650333e+00 1.491773e-04 5.965366e-02
6.700335e+00 1.487252e-04 5.965519e-02
6.750338e+00 1.482781e-04 5.965670e-02
6.800340e+00 1.478359e-04 5.965818e-02
6.850343e+00 1.473985e-04 5.965963e-02
6.900345e+00 1.469658e-04 5.966107e-02
6.950348e+00 1.465377e-04 5.966248e-02
7.000350e+00 1.461141e-04 5.966387e-02
7.050353e+00 1.456951e-04 5.966523e-02
7.100355e+00 1.452805e-04 5.966658e-02
7.150358e+00 1.448703e-04 5.966791e-02
7.200360e+00 1.444643e-04 5.966921e-02
7.250363e+00 1.440625e-04 5.967050e-02
7.300365e+00 1.436649e-04 5.967176e-02
7.350368e+00 1.432713e-04 5.967301e-02
7.400370e+00 1.428814e-04 5.967424e-02
7.450373e+00 1.424954e-04 5.967545e-02
7.500375e+00 1.421133e-04 5.967664e-02
7.550378e+00 1.417348e-04 5.967782e-02
7.600380e+00 1.413601e-04 5.967898e-02
7.650383e+00 1.409891e-04 5.968012e-02
7.700385e+00 1.406216e-04 5.968124e-02
7.750388e+00 1.402577e-04 5.968235e-02
7.800390e+00 1.398973e-04 5.968344e-02
7.850393e+00 1.395404e-04 5.968452e-02
7.900395e+00 1.391867e-04 5.968558e-02
7.950398e+00 1.388363e-04 5.968663e-02
8.000400e+00 1.384892e-04 5.968766e-02
8.050403e+00 1.381454e-04 5.968868e-02
8.100405e+00 1.378046e-04 5.968968e-02
8.150408e+00 1.374671e-04 5.969067e-02
8.200410e+00 1.371326e-04 5.969165e-02
8.250413e+00 1.368011e-04 5.969261e-02
8.300415e+00 1.364727e-04 5.969356e-02
8.350418e+00 1.361472e-04 5.969450e-02
8.400420e+00 1.358246e-04 5.969542e-02
8.450423e+00 1.355049e-04 5.969633e-02
8.500425e+00 1.351879e-04 5.969723e-02
8.550428e+00 1.348735e-04 5.969812e-02
8.600430e+00 1.345619e-04 5.969899e-02
8.650433e+00 1.342530e-04 5.969986e-02
8.700435e+00 1.339466e-04 5.970071e-02
8.750438e+00 1.336430e-04 5.970155e-02
8.800440e+00 1.333418e-04 5.970238e-02
8.850443e+00 1.330433e-04 5.970320e-02
8.900445e+00 1.327472e-04 5.970401e-02
8.950448e+00 1.324537e-04 5.970481e-02
9.000450e+00 1.321625e-04 5.970560e-02
9.050453e+00 1.318738e-04 5.970637e-02
9.100455e+00 1.315874e-04 5.970714e-02
9.150458e+00 1.313032e-04 5.970790e-02
9.200460e+00 1.310213e-04 5.970865e-02
9.250463e+00 1.307416e-04 5.970939e-02
9.300465e+00 1.304642e-04 5.971012e-02
9.350468e+00 1.301890e-04 5.971084e-02
9.400470e+00 1.299159e-04 5.971155e-02
9.450473e+00 1.296450e-04 5.971225e-02
9.500475e+00 1.293763e-04 5.971295e-02
9.550478e+00 1.291096e-04 5.971363e-02
9.600480e+00 1.288450e-04 5.971431e-02
9.650483e+00 1.285825e-04 5.971498e-02
9.700485e+00 1.283221e-04 5.971564e-02
9.750488e+00 1.280635e-04 5.971629e-02
9.800490e+00 1.278068e-04 5.971694e-02
9.850493e+00 1.275521e-04 5.971757e-02
9.900495e+00 1.272992e-04 5.971820e-02
9.950498e+00 1.270481e-04 5.971883e-02
1.000050e+01 1.267990e-04 5.971944e-02
1.005050e+01 1.265516e-04 5.972005e-02
1.010051e+01 1.263061e-04 5.972065e-02
1.015051e+01 1.260624e-04 5.972124e-02
1.020051e+01 1.258205e-04 5.972183e-02
1.025051e+01 1.255803e-04 5.972241e-02
1.030052e+01 1.253419e-04 5.972298e-02
1.035052e+01 1.251052e-04 5.972354e-02
1.040052e+01 1.248702e-04 5.972410e-02
1.045052e+01 1.246369e-04 5.972465e-02
1.050053e+01 1.244052e-04 5.972520e-02
1.055053e+01 1.241751e-04 5.972574e-02
1.060053e+01 1.239466e-04 5.972627e-02
1.065053e+01 1.237196e-04 5.972680e-02
1.070054e+01 1.234942e-04 5.972732e-02
1.075054e+01 1.232704e-04 5.972784e-02
1.080054e+01 1.230481e-04 5.972835e-02
1.085054e+01 1.228274e-04 5.972885e-02
1.090055e+01 1.226082e-04 5.972935e-02
1.095055e+01 1.223904e-04 5.972984e-02
1.100055e+01 1.221742e-04 5.973033e-02
1.105055e+01 1.219594e-04 5.973081e-02
1.110056e+01 1.217460e-04 5.973129e-02
1.115056e+01 1.215341e-04 5.973176e-02
1.120056e+01 1.213237e-04 5.973222e-02
1.125056e+01 1.211146e-04 5.973269e-02
1.130057e+01 1.209068e-04 5.973314e-02
1.135057e+01 1.207003e-04 5.973359e-02
1.140057e+01 1.204951e-04 5.973404e-02
1.145057e+01 1.202912e-04 5.973448e-02
1.150058e+01 1.200887e-04 5.973491e-02
1.155058e+01 1.198874e-04 5.973535e-02
1.160058e+01 1.196874e-04 5.973577e-02
1.165058e+01 1.194887e-04 5.973619e-02
1.170059e+01 1.192912e-04 5.973661e-02
1.175059e+01 1.190951e-04 5.973702e-02
1.180059e+01 1.189001e-04 5.973743e-02
1.185059e+01 1.187064e-04 5.973784e-02
1.190060e+01 1.185139e-04 5.973824e-02
1.195060e+01 1.183226e-04 5.973863e-02
1.200060e+01 1.181325e-04 5.973902e-02
1.205060e+01 1.179436e-04 5.973941e-02
1.210061e+01 1.177558e-04 5.973979e-02
1.215061e+01 1.175691e-04 5.974017e-02
1.220061e+01 1.173836e-04 5.974055e-02
1.225061e+01 1.171991e-04 5.974092e-02
1.230062e+01 1.170158e-04 5.974128e-02
1.235062e+01 1.168335e-04 5.974165e-02
1.240062e+01 1.166523e-04 5.974201e-02
