t mart.cavg aust.cavg
6.650000e-03 3.336012e-02 3.363223e-02
6.700000e-03 3.335959e-02 3.363234e-02
6.750000e-03 3.335907e-02 3.363245e-02
6.800000e-03 3.335855e-02 3.363257e-02
6.850000e-03 3.335802e-02 3.363268e-02
6.900000e-03 3.335750e-02 3.363279e-02
6.950000e-03 3.335698e-02 3.363290e-02
7.000000e-03 3.335645e-02 3.363302e-02
7.050000e-03 3.335593e-02 3.363313e-02
7.100000e-03 3.335541e-02 3.363324e-02
7.150000e-03 3.335489e-02 3.363335e-02
7.200000e-03 3.335437e-02 3.363347e-02
7.250000e-03 3.335385e-02 3.363358e-02
7.300000e-03 3.335333e-02 3.363369e-02
7.350000e-03 3.335281e-02 3.363381e-02
7.400000e-03 3.335229e-02 3.363392e-02
7.450000e-03 3.335177e-02 3.363403e-02
7.500000e-03 3.335125e-02 3.363414e-02
7.550000e-03 3.335073e-02 3.363426e-02
7.600000e-03 3.335021e-02 3.363437e-02
7.650000e-03 3.334969e-02 3.363448e-02
7.700000e-03 3.334917e-02 3.363459e-02
7.750000e-03 3.334865e-02 3.363471e-02
7.800000e-03 3.334814e-02 3.363482e-02
7.850000e-03 3.334762e-02 3.363493e-02
7.900000e-03 3.334710e-02 3.363505e-02
7.950000e-03 3.334658e-02 3.363516e-02
8.000000e-03 3.334607e-02 3.363527e-02
8.050000e-03 3.334555e-02 3.363538e-02
8.100000e-03 3.334503e-02 3.363550e-02
8.150000e-03 3.334452e-02 3.363561e-02
8.200000e-03 3.334400e-02 3.363572e-02
8.250000e-03 3.334349e-02 3.363584e-02
8.300000e-03 3.334297e-02 3.363595e-02
8.350000e-03 3.334246e-02 3.363606e-02
8.400000e-03 3.334194e-02 3.363617e-02
8.450000e-03 3.334143e-02 3.363629e-02
8.500000e-03 3.334091e-02 3.363640e-02
8.550000e-03 3.334040e-02 3.363651e-02
8.600000e-03 3.333988e-02 3.363663e-02
8.650000e-03 3.333937e-02 3.363674e-02
8.700000e-03 3.333886e-02 3.363685e-02
8.750000e-03 3.333834e-02 3.363696e-02
8.800000e-03 3.333783e-02 3.363708e-02
8.850000e-03 3.333732e-02 3.363719e-02
8.900000e-03 3.333681e-02 3.363730e-02
8.950000e-03 3.333630e-02 3.363742e-02
9.000000e-03 3.333578e-02 3.363753e-02
9.050000e-03 3.333527e-02 3.363764e-02
9.100000e-03 3.333476e-02 3.363775e-02
9.150000e-03 3.333425e-02 3.363787e-02
9.200000e-03 3.333374e-02 3.363798e-02
9.250000e-03 3.333323e-02 3.363809e-02
9.300000e-03 3.333272e-02 3.363821e-02
9.350000e-03 3.333221e-02 3.363832e-02
9.400000e-03 3.333170e-02 3.363843e-02
9.450000e-03 3.333119e-02 3.363855e-02
9.500000e-03 3.333068e-02 3.363866e-02
9.550000e-03 3.333017e-02 3.363877e-02
9.600000e-03 3.332966e-02 3.363888e-02
9.650000e-03 3.332915e-02 3.363900e-02
9.700000e-03 3.332865e-02 3.363911e-02
9.750000e-03 3.332814e-02 3.363922e-02
9.800000e-03 3.332763e-02 3.363934e-02
9.850000e-03 3.332712e-02 3.363945e-02
9.900000e-03 3.332662e-02 3.363956e-02
9.950000e-03 3.332611e-02 3.363968e-02
1.000000e-02 3.332560e-02 3.363979e-02
1.005000e-02 3.332510e-02 3.363990e-02
1.010000e-02 3.332459e-02 3.364002e-02
1.015000e-02 3.332409e-02 3.364013e-02
1.020000e-02 3.332358e-02 3.364024e-02
1.025000e-02 3.332307e-02 3.364035e-02
1.030000e-02 3.332257e-02 3.364047e-02
1.035000e-02 3.332206e-02 3.364058e-02
1.040000e-02 3.332156e-02 3.364069e-02
1.045000e-02 3.332106e-02 3.364081e-02
1.050000e-02 3.332055e-02 3.364092e-02
1.055000e-02 3.332005e-02 3.364103e-02
1.060000e-02 3.331954e-02 3.364115e-02
1.065000e-02 3.331904e-02 3.364126e-02
1.070000e-02 3.331854e-02 3.364137e-02
1.075000e-02 3.331803e-02 3.364149e-02
1.080000e-02 3.331753e-02 3.364160e-02
1.085000e-02 3.331703e-02 3.364171e-02
1.090000e-02 3.331653e-02 3.364183e-02
1.095000e-02 3.331603e-02 3.364194e-02
1.100000e-02 3.331552e-02 3.364205e-02
1.105000e-02 3.331502e-02 3.364217e-02
1.110000e-02 3.331452e-02 3.364228e-02
1.115000e-02 3.331402e-02 3.364239e-02
1.120000e-02 3.331352e-02 3.364251e-02
1.125000e-02 3.331302e-02 3.364262e-02
1.130000e-02 3.331252e-02 3.364273e-02
1.135000e-02 3.331202e-02 3.364284e-02
1.140000e-02 3.331152e-02 3.364296e-02
1.145000e-02 3.331102e-02 3.364307e-02
1.150000e-02 3.331052e-02 3.364318e-02
1.155000e-02 3.331002e-02 3.364330e-02
1.160000e-02 3.330952e-02 3.364341e-02
1.165000e-02 3.330902e-02 3.364352e-02
1.170000e-02 3.330853e-02 3.364364e-02
1.175000e-02 3.330803e-02 3.364375e-02
1.180000e-02 3.330753e-02 3.364386e-02
1.185000e-02 3.330703e-02 3.364398e-02
1.190000e-02 3.330654e-02 3.364409e-02
1.195000e-02 3.330604e-02 3.364420e-02
1.200000e-02 3.330554e-02 3.364432e-02
1.205000e-02 3.330505e-02 3.364443e-02
1.210000e-02 3.330455e-02 3.364454e-02
1.215000e-02 3.330405e-02 3.364466e-02
1.220000e-02 3.330356e-02 3.364477e-02
1.225000e-02 3.330306e-02 3.364488e-02
1.230000e-02 3.330257e-02 3.364500e-02
1.235000e-02 3.330207e-02 3.364511e-02
1.240000e-02 3.330158e-02 3.364522e-02
1.245000e-02 3.330108e-02 3.364534e-02
1.250000e-02 3.330059e-02 3.364545e-02
1.255000e-02 3.330009e-02 3.364556e-02
