t mart.cavg aust.cavg
6.650000e-03 3.344511e-02 3.331997e-02
6.700000e-03 3.344514e-02 3.331994e-02
6.750000e-03 3.344516e-02 3.331991e-02
6.800000e-03 3.344519e-02 3.331988e-02
6.850000e-03 3.344521e-02 3.331985e-02
6.900000e-03 3.344523e-02 3.331982e-02
6.950000e-03 3.344526e-02 3.331979e-02
7.000000e-03 3.344528e-02 3.331976e-02
7.050000e-03 3.344531e-02 3.331973e-02
7.100000e-03 3.344533e-02 3.331970e-02
7.150000e-03 3.344536e-02 3.331967e-02
7.200000e-03 3.344538e-02 3.331964e-02
7.250000e-03 3.344540e-02 3.331961e-02
7.300000e-03 3.344543e-02 3.331959e-02
7.350000e-03 3.344545e-02 3.331956e-02
7.400000e-03 3.344548e-02 3.331953e-02
7.450000e-03 3.344550e-02 3.331950e-02
7.500000e-03 3.344553e-02 3.331947e-02
7.550000e-03 3.344555e-02 3.331944e-02
7.600000e-03 3.344557e-02 3.331941e-02
7.650000e-03 3.344560e-02 3.331938e-02
7.700000e-03 3.344562e-02 3.331935e-02
7.750000e-03 3.344565e-02 3.331932e-02
7.800000e-03 3.344567e-02 3.331929e-02
7.850000e-03 3.344569e-02 3.331926e-02
7.900000e-03 3.344572e-02 3.331923e-02
7.950000e-03 3.344574e-02 3.331920e-02
8.000000e-03 3.344577e-02 3.331917e-02
8.050000e-03 3.344579e-02 3.331915e-02
8.100000e-03 3.344582e-02 3.331912e-02
8.150000e-03 3.344584e-02 3.331909e-02
8.200000e-03 3.344586e-02 3.331906e-02
8.250000e-03 3.344589e-02 3.331903e-02
8.300000e-03 3.344591e-02 3.331900e-02
8.350000e-03 3.344594e-02 3.331897e-02
8.400000e-03 3.344596e-02 3.331894e-02
8.450000e-03 3.344599e-02 3.331891e-02
8.500000e-03 3.344601e-02 3.331888e-02
8.550000e-03 3.344603e-02 3.331885e-02
8.600000e-03 3.344606e-02 3.331882e-02
8.650000e-03 3.344608e-02 3.331879e-02
8.700000e-03 3.344611e-02 3.331877e-02
8.750000e-03 3.344613e-02 3.331874e-02
8.800000e-03 3.344615e-02 3.331871e-02
8.850000e-03 3.344618e-02 3.331868e-02
8.900000e-03 3.344620e-02 3.331865e-02
8.950000e-03 3.344623e-02 3.331862e-02
9.000000e-03 3.344625e-02 3.331859e-02
9.050000e-03 3.344627e-02 3.331856e-02
9.100000e-03 3.344630e-02 3.331853e-02
9.150000e-03 3.344632e-02 3.331850e-02
9.200000e-03 3.344635e-02 3.331847e-02
9.250000e-03 3.344637e-02 3.331845e-02
9.300000e-03 3.344639e-02 3.331842e-02
9.350000e-03 3.344642e-02 3.331839e-02
9.400000e-03 3.344644e-02 3.331836e-02
9.450000e-03 3.344647e-02 3.331833e-02
9.500000e-03 3.344649e-02 3.331830e-02
9.550000e-03 3.344651e-02 3.331827e-02
9.600000e-03 3.344654e-02 3.331824e-02
9.650000e-03 3.344656e-02 3.331821e-02
9.700000e-03 3.344659e-02 3.331818e-02
9.750000e-03 3.344661e-02 3.331816e-02
9.800000e-03 3.344664e-02 3.331813e-02
9.850000e-03 3.344666e-02 3.331810e-02
9.900000e-03 3.344668e-02 3.331807e-02
9.950000e-03 3.344671e-02 3.331804e-02
1.000000e-02 3.344673e-02 3.331801e-02
1.005000e-02 3.344676e-02 3.331798e-02
1.010000e-02 3.344678e-02 3.331795e-02
1.015000e-02 3.344680e-02 3.331792e-02
1.020000e-02 3.344683e-02 3.331789e-02
1.025000e-02 3.344685e-02 3.331787e-02
1.030000e-02 3.344687e-02 3.331784e-02
1.035000e-02 3.344690e-02 3.331781e-02
1.040000e-02 3.344692e-02 3.331778e-02
1.045000e-02 3.344695e-02 3.331775e-02
1.050000e-02 3.344697e-02 3.331772e-02
1.055000e-02 3.344699e-02 3.331769e-02
1.060000e-02 3.344702e-02 3.331766e-02
1.065000e-02 3.344704e-02 3.331764e-02
1.070000e-02 3.344707e-02 3.331761e-02
1.075000e-02 3.344709e-02 3.331758e-02
1.080000e-02 3.344711e-02 3.331755e-02
1.085000e-02 3.344714e-02 3.331752e-02
1.090000e-02 3.344716e-02 3.331749e-02
1.095000e-02 3.344719e-02 3.331746e-02
