t mart.cavg aust.cavg
5.000000e-05 3.344140e-02 3.364127e-02
1.000000e-04 3.336810e-02 3.364419e-02
1.500000e-04 3.334688e-02 3.364712e-02
2.000000e-04 3.332518e-02 3.365005e-02
2.500000e-04 3.330390e-02 3.365298e-02
3.000000e-04 3.328297e-02 3.365593e-02
3.500000e-04 3.326238e-02 3.365887e-02
4.000000e-04 3.324210e-02 3.366183e-02
4.500000e-04 3.322210e-02 3.366478e-02
5.000000e-04 3.320238e-02 3.366774e-02
5.500000e-04 3.318292e-02 3.367071e-02
6.000000e-04 3.316372e-02 3.367368e-02
6.500000e-04 3.314477e-02 3.367665e-02
7.000000e-04 3.312607e-02 3.367963e-02
7.500000e-04 3.310760e-02 3.368262e-02
8.000000e-04 3.308936e-02 3.368561e-02
8.500000e-04 3.307136e-02 3.368860e-02
9.000000e-04 3.305359e-02 3.369160e-02
9.500000e-04 3.303605e-02 3.369460e-02
1.000000e-03 3.301873e-02 3.369761e-02
1.050000e-03 3.300163e-02 3.370062e-02
1.100000e-03 3.298476e-02 3.370364e-02
1.150000e-03 3.296812e-02 3.370666e-02
1.200000e-03 3.295169e-02 3.370968e-02
1.250000e-03 3.293548e-02 3.371271e-02
1.300000e-03 3.291949e-02 3.371574e-02
1.350000e-03 3.290372e-02 3.371877e-02
1.400000e-03 3.288817e-02 3.372181e-02
1.450000e-03 3.287284e-02 3.372485e-02
1.500000e-03 3.285773e-02 3.372790e-02
1.550000e-03 3.284283e-02 3.373095e-02
1.600000e-03 3.282815e-02 3.373400e-02
1.650000e-03 3.281368e-02 3.373705e-02
1.700000e-03 3.279943e-02 3.374011e-02
1.750000e-03 3.278539e-02 3.374317e-02
1.800000e-03 3.277157e-02 3.374623e-02
1.850000e-03 3.275797e-02 3.374930e-02
1.900000e-03 3.274458e-02 3.375236e-02
1.950000e-03 3.273140e-02 3.375543e-02
2.000000e-03 3.271844e-02 3.375850e-02
2.050000e-03 3.270568e-02 3.376157e-02
2.100000e-03 3.269314e-02 3.376464e-02
2.150000e-03 3.268082e-02 3.376771e-02
2.200000e-03 3.266870e-02 3.377079e-02
2.250000e-03 3.265680e-02 3.377386e-02
