t mart aus1 fer1 aus2 fer2
3.300165e-01 3.184140e-02 3.536439e-02 2.736511e-05 3.445992e-02 2.730310e-05
3.350168e-01 3.183108e-02 3.538265e-02 2.744596e-05 3.447475e-02 2.738596e-05
3.400170e-01 3.182084e-02 3.540082e-02 2.752526e-05 3.448955e-02 2.746716e-05
3.450173e-01 3.181067e-02 3.541889e-02 2.760306e-05 3.450430e-02 2.754675e-05
3.500175e-01 3.180058e-02 3.543686e-02 2.767938e-05 3.451901e-02 2.762479e-05
3.550178e-01 3.179056e-02 3.545474e-02 2.775428e-05 3.453368e-02 2.770131e-05
3.600180e-01 3.178061e-02 3.547253e-02 2.782778e-05 3.454831e-02 2.777637e-05
3.650183e-01 3.177073e-02 3.549022e-02 2.789993e-05 3.456289e-02 2.785001e-05
3.700185e-01 3.176092e-02 3.550783e-02 2.797066e-05 3.457743e-02 2.792226e-05
3.750188e-01 3.175117e-02 3.552534e-02 2.803984e-05 3.459193e-02 2.799304e-05
3.800190e-01 3.174149e-02 3.554277e-02 2.810758e-05 3.460639e-02 2.806230e-05
3.850193e-01 3.173187e-02 3.556011e-02 2.817405e-05 3.462080e-02 2.813012e-05
3.900195e-01 3.172232e-02 3.557736e-02 2.823932e-05 3.463517e-02 2.819663e-05
3.950198e-01 3.171283e-02 3.559453e-02 2.830343e-05 3.464950e-02 2.826190e-05
4.000200e-01 3.170340e-02 3.561161e-02 2.836641e-05 3.466378e-02 2.832598e-05
4.050203e-01 3.169402e-02 3.562862e-02 2.842829e-05 3.467803e-02 2.838891e-05
4.100205e-01 3.168471e-02 3.564554e-02 2.848910e-05 3.469222e-02 2.845072e-05
4.150208e-01 3.167545e-02 3.566238e-02 2.854887e-05 3.470638e-02 2.851145e-05
4.200210e-01 3.166625e-02 3.567914e-02 2.860762e-05 3.472049e-02 2.857112e-05
4.250213e-01 3.165710e-02 3.569583e-02 2.866539e-05 3.473456e-02 2.862977e-05
4.300215e-01 3.164801e-02 3.571244e-02 2.872219e-05 3.474859e-02 2.868742e-05
4.350218e-01 3.163896e-02 3.572897e-02 2.877805e-05 3.476257e-02 2.874409e-05
4.400220e-01 3.162998e-02 3.574543e-02 2.883300e-05 3.477652e-02 2.879983e-05
