t mart aust
5.802901e-02 2.302128e-02 3.980081e-02
5.852926e-02 2.297692e-02 3.983288e-02
5.902951e-02 2.293275e-02 3.986485e-02
5.952976e-02 2.288876e-02 3.989686e-02
6.003002e-02 2.284496e-02 3.992898e-02
6.053027e-02 2.280134e-02 3.996114e-02
6.103052e-02 2.275790e-02 3.999320e-02
6.153077e-02 2.271463e-02 4.002500e-02
6.203102e-02 2.267154e-02 4.005646e-02
6.253127e-02 2.262862e-02 4.008761e-02
6.303152e-02 2.258588e-02 4.011859e-02
6.353177e-02 2.254330e-02 4.014953e-02
6.403202e-02 2.250088e-02 4.018052e-02
6.453227e-02 2.245863e-02 4.021159e-02
6.503252e-02 2.241655e-02 4.024265e-02
6.553277e-02 2.237462e-02 4.027358e-02
6.603302e-02 2.233286e-02 4.030427e-02
6.653327e-02 2.229125e-02 4.033466e-02
6.703352e-02 2.224979e-02 4.036480e-02
6.753377e-02 2.220849e-02 4.039480e-02
6.803402e-02 2.216734e-02 4.042477e-02
6.853427e-02 2.212635e-02 4.045478e-02
6.903452e-02 2.208550e-02 4.048485e-02
6.953477e-02 2.204479e-02 4.051490e-02
7.003502e-02 2.200424e-02 4.054483e-02
7.053527e-02 2.196382e-02 4.057456e-02
7.103552e-02 2.192355e-02 4.060404e-02
7.153577e-02 2.188343e-02 4.063329e-02
7.203602e-02 2.184344e-02 4.066239e-02
7.253627e-02 2.180358e-02 4.069145e-02
7.303652e-02 2.176387e-02 4.072052e-02
7.353677e-02 2.172429e-02 4.074964e-02
7.403702e-02 2.168484e-02 4.077876e-02
7.453727e-02 2.164553e-02 4.080780e-02
7.503752e-02 2.160635e-02 4.083669e-02
7.553777e-02 2.156730e-02 4.086536e-02
7.603802e-02 2.152838e-02 4.089382e-02
7.653827e-02 2.148958e-02 4.092212e-02
7.703852e-02 2.145091e-02 4.095033e-02
7.753877e-02 2.141237e-02 4.097853e-02
7.803902e-02 2.137395e-02 4.100675e-02
7.853927e-02 2.133565e-02 4.103499e-02
7.903952e-02 2.129748e-02 4.106320e-02
7.953977e-02 2.125942e-02 4.109132e-02
8.004002e-02 2.122149e-02 4.111927e-02
8.054027e-02 2.118367e-02 4.114703e-02
8.104052e-02 2.114597e-02 4.117462e-02
