t mart.ci0 mart.cin aus1.ci0 aus1.cin fer1.ci0 fer1.cin aus2.ci0 aus2.cin fer2.ci0 fer2.cin
0.000000e+00 3.344140e-02 3.344140e-02 6.828630e-02 3.344140e-02 1.077469e-05 1.077469e-05 3.344140e-02 3.344140e-02 1.077469e-05 1.077469e-05
5.000250e-03 3.344139e-02 3.209168e-02 6.828630e-02 3.384942e-02 1.097370e-05 1.097370e-05 3.384942e-02 3.384942e-02 1.087435e-05 1.087435e-05
1.000050e-02 3.344134e-02 3.165545e-02 6.828630e-02 3.464128e-02 1.136510e-05 1.136507e-05 3.464123e-02 3.464123e-02 1.107214e-05 1.107214e-05
1.500075e-02 3.344117e-02 3.145721e-02 6.828630e-02 3.575778e-02 1.193048e-05 1.193034e-05 3.575750e-02 3.575750e-02 1.136402e-05 1.136402e-05
2.000100e-02 3.344072e-02 3.138419e-02 6.828630e-02 3.711380e-02 1.263842e-05 1.263798e-05 3.711297e-02 3.711297e-02 1.174324e-05 1.174324e-05
2.500125e-02 3.343977e-02 3.138205e-02 6.828630e-02 3.860204e-02 1.344561e-05 1.344457e-05 3.860017e-02 3.860017e-02 1.220017e-05 1.220017e-05
3.000150e-02 3.343809e-02 3.141798e-02 6.828630e-02 4.012237e-02 1.430141e-05 1.429937e-05 4.011881e-02 4.011881e-02 1.272265e-05 1.272265e-05
3.500175e-02 3.343540e-02 3.147103e-02 6.828630e-02 4.158087e-02 1.515517e-05 1.515172e-05 4.157510e-02 4.157510e-02 1.329627e-05 1.329627e-05
4.000200e-02 3.343149e-02 3.152833e-02 6.828630e-02 4.291627e-02 1.596444e-05 1.595925e-05 4.290782e-02 4.290782e-02 1.390532e-05 1.390532e-05
4.500225e-02 3.342618e-02 3.158273e-02 6.828630e-02 4.409271e-02 1.670030e-05 1.669327e-05 4.408163e-02 4.408163e-02 1.453377e-05 1.453377e-05
5.000250e-02 3.341934e-02 3.163096e-02 6.828630e-02 4.510157e-02 1.734944e-05 1.734066e-05 4.508806e-02 4.508806e-02 1.516618e-05 1.516618e-05
5.500275e-02 3.341096e-02 3.167210e-02 6.828630e-02 4.595471e-02 1.791149e-05 1.790126e-05 4.593930e-02 4.593930e-02 1.578917e-05 1.578917e-05
6.000300e-02 3.340103e-02 3.170649e-02 6.828630e-02 4.667345e-02 1.839496e-05 1.838371e-05 4.665694e-02 4.665694e-02 1.639155e-05 1.639155e-05
6.500325e-02 3.338963e-02 3.173504e-02 6.828630e-02 4.728536e-02 1.881236e-05 1.880060e-05 4.726829e-02 4.726829e-02 1.696521e-05 1.696521e-05
7.000350e-02 3.337688e-02 3.175879e-02 6.828630e-02 4.781097e-02 1.917741e-05 1.916568e-05 4.779407e-02 4.779407e-02 1.750487e-05 1.750487e-05
7.500375e-02 3.336292e-02 3.177871e-02 6.828630e-02 4.827506e-02 1.950251e-05 1.949126e-05 4.825913e-02 4.825913e-02 1.800799e-05 1.800799e-05
8.000400e-02 3.334788e-02 3.179564e-02 6.828630e-02 4.868986e-02 1.979775e-05 1.978733e-05 4.867533e-02 4.867533e-02 1.847436e-05 1.847436e-05
8.500425e-02 3.333194e-02 3.181023e-02 6.828630e-02 4.907214e-02 2.007110e-05 2.006182e-05 4.905925e-02 4.905925e-02 1.890518e-05 1.890518e-05
9.000450e-02 3.331524e-02 3.182297e-02 6.828630e-02 4.942790e-02 2.032859e-05 2.032068e-05 4.941703e-02 4.941703e-02 1.930276e-05 1.930276e-05
9.500475e-02 3.329792e-02 3.183424e-02 6.828630e-02 4.976400e-02 2.057462e-05 2.056820e-05 4.975521e-02 4.975521e-02 1.967015e-05 1.967015e-05
1.000050e-01 3.328012e-02 3.184431e-02 6.828630e-02 5.008665e-02 2.081137e-05 2.080656e-05 5.008013e-02 5.008013e-02 2.001058e-05 2.001058e-05
1.050053e-01 3.326196e-02 3.185337e-02 6.828630e-02 5.039505e-02 2.104022e-05 2.103703e-05 5.039078e-02 5.039078e-02 2.032765e-05 2.032765e-05
1.100055e-01 3.324355e-02 3.186158e-02 6.828630e-02 5.069192e-02 2.126289e-05 2.126133e-05 5.068986e-02 5.068986e-02 2.062478e-05 2.062478e-05
1.150058e-01 3.322497e-02 3.186904e-02 6.828630e-02 5.098066e-02 2.147980e-05 2.147986e-05 5.098074e-02 5.098074e-02 2.090458e-05 2.090458e-05
1.200060e-01 3.320631e-02 3.187584e-02 6.828630e-02 5.125972e-02 2.169128e-05 2.169291e-05 5.126187e-02 5.126187e-02 2.116935e-05 2.116935e-05
1.250063e-01 3.318764e-02 3.188205e-02 6.828630e-02 5.152994e-02 2.189804e-05 2.190121e-05 5.153406e-02 5.153406e-02 2.142133e-05 2.142133e-05
