t mart.ci0 mart.cin aus1.ci0 aus1.cin fer1.ci0 fer1.cin aus2.ci0 aus2.cin fer2.ci0 fer2.cin
1.750088e-01 2.881765e-02 2.592057e-02 1.128870e-01 5.385082e-02 2.373039e-05 2.374499e-05 5.386885e-02 5.261289e-02 2.273992e-05 2.273992e-05
1.800090e-01 2.873103e-02 2.589097e-02 1.128870e-01 5.404914e-02 2.389154e-05 2.390681e-05 5.406787e-02 5.283685e-02 2.291688e-05 2.291688e-05
1.850093e-01 2.864648e-02 2.586050e-02 1.128870e-01 5.424138e-02 2.404878e-05 2.406471e-05 5.426079e-02 5.305522e-02 2.308988e-05 2.308988e-05
1.900095e-01 2.856389e-02 2.582926e-02 1.128870e-01 5.442817e-02 2.420256e-05 2.421910e-05 5.444819e-02 5.326719e-02 2.325906e-05 2.325906e-05
1.950098e-01 2.848314e-02 2.579732e-02 1.128870e-01 5.460984e-02 2.435307e-05 2.437017e-05 5.463040e-02 5.347327e-02 2.342473e-05 2.342473e-05
2.000100e-01 2.840414e-02 2.576475e-02 1.128870e-01 5.478691e-02 2.450024e-05 2.451777e-05 5.480805e-02 5.367380e-02 2.358707e-05 2.358707e-05
2.050103e-01 2.832679e-02 2.573162e-02 1.128870e-01 5.495953e-02 2.464373e-05 2.466161e-05 5.498097e-02 5.386998e-02 2.374591e-05 2.374591e-05
2.100105e-01 2.825101e-02 2.569798e-02 1.128870e-01 5.512689e-02 2.478364e-05 2.480188e-05 5.514864e-02 5.406078e-02 2.390103e-05 2.390103e-05
2.150108e-01 2.817670e-02 2.566389e-02 1.128870e-01 5.528959e-02 2.492042e-05 2.493899e-05 5.531161e-02 5.424609e-02 2.405264e-05 2.405264e-05
2.200110e-01 2.810380e-02 2.562940e-02 1.128870e-01 5.544792e-02 2.505425e-05 2.507311e-05 5.547016e-02 5.442634e-02 2.420105e-05 2.420105e-05
2.250113e-01 2.803223e-02 2.559455e-02 1.128870e-01 5.560208e-02 2.518525e-05 2.520435e-05 5.562449e-02 5.460183e-02 2.434641e-05 2.434641e-05
2.300115e-01 2.796192e-02 2.555939e-02 1.128870e-01 5.575235e-02 2.531341e-05 2.533264e-05 5.577498e-02 5.477305e-02 2.448875e-05 2.448875e-05
2.350118e-01 2.789282e-02 2.552394e-02 1.128870e-01 5.589926e-02 2.543842e-05 2.545776e-05 5.592193e-02 5.494046e-02 2.462784e-05 2.462784e-05
